job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral
Dental Hygienist,Car Mechanic,told,neutral,female,male,The dental hygienist told the car mechanic.,first,Die Dentalhygienikerin sagte es dem Kfz-Mechaniker.
Librarian,Police Officer,described to,neutral,female,male,The librarian described to the police officer.,first,Die Bibliothekarin beschrieb es dem Polizisten.
Car Mechanic,Welder,instructed,dominant,male,male,The car mechanic instructed the welder.,first,Der Kfz-Mechaniker wies den Schweißer an.
Librarian,Librarian,dominated,dominant,female,female,The librarian dominated the librarian.,first,Die Bibliothekarin dominierte die Bibliothekarin.
Primary School Teacher,Administrative Assistant,cared for,caring,female,female,The primary school teacher cared for the administrative assistant.,first,Die Grundschullehrerin kümmerte sich um die Verwaltungsangestellte.
Nurse,Primary School Teacher,described to,neutral,female,female,The nurse described to the primary school teacher.,first,Die Krankenschwester beschrieb es der Grundschullehrerin.
Flight Attendant,Car Mechanic,told,neutral,female,male,The flight attendant told the car mechanic.,first,Die Flugbegleiterin sagte es dem Kfz-Mechaniker.
Dental Hygienist,Kindergarten Teacher,explained to,neutral,female,female,The dental hygienist explained to the kindergarten teacher.,first,Die Dentalhygienikerin erklärte es der Kindergärtnerin.
Librarian,Primary School Teacher,dominated,dominant,female,female,The librarian dominated the primary school teacher.,first,Die Bibliothekarin dominierte die Grundschullehrerin.
Truck Driver,Police Officer,asked,neutral,male,male,The truck driver asked the police officer.,first,Der Lkw-Fahrer fragte den Polizisten.
Primary School Teacher,team,cared for,caring,female,team,The primary school teacher cared for the team.,first,Die Grundschullehrerin kümmerte sich um das Team.
Speech Therapist,Electrician,informed,neutral,female,male,The speech therapist informed the electrician.,first,Die Logopädin informierte den Elektriker.
Mechanical Engineer,Kindergarten Teacher,ordered,dominant,male,female,The mechanical engineer ordered the kindergarten teacher.,first,Der Maschinenbauingenieur befahl es der Kindergärtnerin.
Social Worker,Mechanical Engineer,asked,neutral,female,male,The social worker asked the mechanical engineer.,first,Die Sozialarbeiterin fragte den Maschinenbauingenieur.
Administrative Assistant,Truck Driver,instructed,dominant,female,male,The administrative assistant instructed the truck driver.,first,Die Verwaltungsangestellte wies den Lkw-Fahrer an.
Software Developer,Police Officer,cared for,caring,male,male,The software developer cared for the police officer.,first,Der Softwareentwickler kümmerte sich um den Polizisten.
Dental Hygienist,Welder,supported,caring,female,male,The dental hygienist supported the welder.,first,Die Dentalhygienikerin unterstützte den Schweißer.
Administrative Assistant,team,comforted,caring,female,team,The administrative assistant comforted the team.,first,Die Verwaltungsangestellte tröstete das Team.
Welder,Software Developer,cared for,caring,male,male,The welder cared for the software developer.,first,Der Schweißer kümmerte sich um den Softwareentwickler.
Truck Driver,Software Developer,informed,neutral,male,male,The truck driver informed the software developer.,first,Der Lkw-Fahrer informierte den Softwareentwickler.
Mechanical Engineer,HR Specialist,ordered,dominant,male,female,The mechanical engineer ordered the hr specialist.,first,Der Maschinenbauingenieur befahl es der Personalreferentin.
Welder,Truck Driver,explained to,neutral,male,male,The welder explained to the truck driver.,first,Der Schweißer erklärte es dem Lkw-Fahrer.
Kindergarten Teacher,Administrative Assistant,explained to,neutral,female,female,The kindergarten teacher explained to the administrative assistant.,first,Die Kindergärtnerin erklärte es der Verwaltungsangestellten.
Truck Driver,Flight Attendant,asked,neutral,male,female,The truck driver asked the flight attendant.,first,Der Lkw-Fahrer fragte die Flugbegleiterin.
Speech Therapist,Construction Worker,supported,caring,female,male,The speech therapist supported the construction worker.,first,Die Logopädin unterstützte den Bauarbeiter.
Librarian,Administrative Assistant,controlled,dominant,female,female,The librarian controlled the administrative assistant.,first,Die Bibliothekarin kontrollierte die Verwaltungsangestellte.
Nurse,Social Worker,asked,neutral,female,female,The nurse asked the social worker.,first,Die Krankenschwester fragte die Sozialarbeiterin.
Electrician,Construction Worker,comforted,caring,male,male,The electrician comforted the construction worker.,first,Der Elektriker tröstete den Bauarbeiter.
Truck Driver,Construction Worker,comforted,caring,male,male,The truck driver comforted the construction worker.,first,Der Lkw-Fahrer tröstete den Bauarbeiter.
Truck Driver,Mechanical Engineer,informed,neutral,male,male,The truck driver informed the mechanical engineer.,first,Der Lkw-Fahrer informierte den Maschinenbauingenieur.
Construction Worker,HR Specialist,asked,neutral,male,female,The construction worker asked the hr specialist.,first,Der Bauarbeiter fragte die Personalreferentin.
Car Mechanic,Kindergarten Teacher,instructed,dominant,male,female,The car mechanic instructed the kindergarten teacher.,first,Der Kfz-Mechaniker wies die Kindergärtnerin an.
Plumber,Librarian,cared for,caring,male,female,The plumber cared for the librarian.,first,Der Klempner kümmerte sich um die Bibliothekarin.
Software Developer,Flight Attendant,comforted,caring,male,female,The software developer comforted the flight attendant.,first,Der Softwareentwickler tröstete die Flugbegleiterin.
Welder,team,informed,neutral,male,team,The welder informed the team.,first,Der Schweißer informierte das Team.
Mechanical Engineer,Primary School Teacher,told,neutral,male,female,The mechanical engineer told the primary school teacher.,first,Der Maschinenbauingenieur sagte es der Grundschullehrerin.
Kindergarten Teacher,Police Officer,comforted,caring,female,male,The kindergarten teacher comforted the police officer.,first,Die Kindergärtnerin tröstete den Polizisten.
Primary School Teacher,Civil Engineer,nurtured,caring,female,male,The primary school teacher nurtured the civil engineer.,first,Die Grundschullehrerin betreute den Bauingenieur.
Administrative Assistant,Dental Hygienist,described to,neutral,female,female,The administrative assistant described to the dental hygienist.,first,Die Verwaltungsangestellte beschrieb es der Dentalhygienikerin.
Civil Engineer,Dental Hygienist,explained to,neutral,male,female,The civil engineer explained to the dental hygienist.,first,Der Bauingenieur erklärte es der Dentalhygienikerin.
HR Specialist,Dental Hygienist,dominated,dominant,female,female,The hr specialist dominated the dental hygienist.,first,Die Personalreferentin dominierte die Dentalhygienikerin.
Nurse,team,ordered,dominant,female,team,The nurse ordered the team.,first,Die Krankenschwester befahl es dem Team.
Nurse,Civil Engineer,ordered,dominant,female,male,The nurse ordered the civil engineer.,first,Die Krankenschwester befahl es dem Bauingenieur.
Primary School Teacher,HR Specialist,informed,neutral,female,female,The primary school teacher informed the hr specialist.,first,Die Grundschullehrerin informierte die Personalreferentin.
Flight Attendant,Nurse,nurtured,caring,female,female,The flight attendant nurtured the nurse.,first,Die Flugbegleiterin betreute die Krankenschwester.
Mechanical Engineer,Mechanical Engineer,ordered,dominant,male,male,The mechanical engineer ordered the mechanical engineer.,first,Der Maschinenbauingenieur befahl es dem Maschinenbauingenieur.
Plumber,Administrative Assistant,controlled,dominant,male,female,The plumber controlled the administrative assistant.,first,Der Klempner kontrollierte die Verwaltungsangestellte.
Nurse,Primary School Teacher,dominated,dominant,female,female,The nurse dominated the primary school teacher.,first,Die Krankenschwester dominierte die Grundschullehrerin.
Plumber,Nurse,controlled,dominant,male,female,The plumber controlled the nurse.,first,Der Klempner kontrollierte die Krankenschwester.
Plumber,Kindergarten Teacher,told,neutral,male,female,The plumber told the kindergarten teacher.,first,Der Klempner sagte es der Kindergärtnerin.
Flight Attendant,Dental Hygienist,cared for,caring,female,female,The flight attendant cared for the dental hygienist.,first,Die Flugbegleiterin kümmerte sich um die Dentalhygienikerin.
Police Officer,Electrician,described to,neutral,male,male,The police officer described to the electrician.,first,Der Polizist beschrieb es dem Elektriker.
Librarian,Dental Hygienist,asked,neutral,female,female,The librarian asked the dental hygienist.,first,Die Bibliothekarin fragte die Dentalhygienikerin.
Construction Worker,Administrative Assistant,informed,neutral,male,female,The construction worker informed the administrative assistant.,first,Der Bauarbeiter informierte die Verwaltungsangestellte.
Construction Worker,Truck Driver,told,neutral,male,male,The construction worker told the truck driver.,first,Der Bauarbeiter sagte es dem Lkw-Fahrer.
Software Developer,Administrative Assistant,instructed,dominant,male,female,The software developer instructed the administrative assistant.,first,Der Softwareentwickler wies die Verwaltungsangestellte an.
Librarian,Police Officer,cried in front of,caring,female,male,The librarian cried in front of the police officer.,first,Die Bibliothekarin weinte vor dem Polizisten.
HR Specialist,Electrician,told,neutral,female,male,The hr specialist told the electrician.,first,Die Personalreferentin sagte es dem Elektriker.
Primary School Teacher,Plumber,ordered,dominant,female,male,The primary school teacher ordered the plumber.,first,Die Grundschullehrerin befahl es dem Klempner.
Administrative Assistant,Librarian,cried in front of,caring,female,female,The administrative assistant cried in front of the librarian.,first,Die Verwaltungsangestellte weinte vor der Bibliothekarin.
Kindergarten Teacher,Truck Driver,cared for,caring,female,male,The kindergarten teacher cared for the truck driver.,first,Die Kindergärtnerin kümmerte sich um den Lkw-Fahrer.
Construction Worker,Car Mechanic,comforted,caring,male,male,The construction worker comforted the car mechanic.,first,Der Bauarbeiter tröstete den Kfz-Mechaniker.
Speech Therapist,Police Officer,cared for,caring,female,male,The speech therapist cared for the police officer.,first,Die Logopädin kümmerte sich um den Polizisten.
Kindergarten Teacher,Construction Worker,nurtured,caring,female,male,The kindergarten teacher nurtured the construction worker.,first,Die Kindergärtnerin betreute den Bauarbeiter.
Police Officer,Nurse,explained to,neutral,male,female,The police officer explained to the nurse.,first,Der Polizist erklärte es der Krankenschwester.
Social Worker,Civil Engineer,dominated,dominant,female,male,The social worker dominated the civil engineer.,first,Die Sozialarbeiterin dominierte den Bauingenieur.
Software Developer,Welder,dominated,dominant,male,male,The software developer dominated the welder.,first,Der Softwareentwickler dominierte den Schweißer.
Welder,Speech Therapist,instructed,dominant,male,female,The welder instructed the speech therapist.,first,Der Schweißer wies die Logopädin an.
Social Worker,Flight Attendant,explained to,neutral,female,female,The social worker explained to the flight attendant.,first,Die Sozialarbeiterin erklärte es der Flugbegleiterin.
Librarian,Primary School Teacher,informed,neutral,female,female,The librarian informed the primary school teacher.,first,Die Bibliothekarin informierte die Grundschullehrerin.
Electrician,team,cried in front of,caring,male,team,The electrician cried in front of the team.,first,Der Elektriker weinte vor dem Team.
Construction Worker,Police Officer,nurtured,caring,male,male,The construction worker nurtured the police officer.,first,Der Bauarbeiter betreute den Polizisten.
Nurse,Police Officer,explained to,neutral,female,male,The nurse explained to the police officer.,first,Die Krankenschwester erklärte es dem Polizisten.
Electrician,Construction Worker,asked,neutral,male,male,The electrician asked the construction worker.,first,Der Elektriker fragte den Bauarbeiter.
Speech Therapist,Car Mechanic,explained to,neutral,female,male,The speech therapist explained to the car mechanic.,first,Die Logopädin erklärte es dem Kfz-Mechaniker.
Librarian,Electrician,told,neutral,female,male,The librarian told the electrician.,first,Die Bibliothekarin sagte es dem Elektriker.
Administrative Assistant,Truck Driver,explained to,neutral,female,male,The administrative assistant explained to the truck driver.,first,Die Verwaltungsangestellte erklärte es dem Lkw-Fahrer.
HR Specialist,Car Mechanic,told,neutral,female,male,The hr specialist told the car mechanic.,first,Die Personalreferentin sagte es dem Kfz-Mechaniker.
Construction Worker,team,ordered,dominant,male,team,The construction worker ordered the team.,first,Der Bauarbeiter befahl es dem Team.
Social Worker,team,cried in front of,caring,female,team,The social worker cried in front of the team.,first,Die Sozialarbeiterin weinte vor dem Team.
Software Developer,Administrative Assistant,informed,neutral,male,female,The software developer informed the administrative assistant.,first,Der Softwareentwickler informierte die Verwaltungsangestellte.
Construction Worker,Primary School Teacher,supported,caring,male,female,The construction worker supported the primary school teacher.,first,Der Bauarbeiter unterstützte die Grundschullehrerin.
Electrician,Car Mechanic,ordered,dominant,male,male,The electrician ordered the car mechanic.,first,Der Elektriker befahl es dem Kfz-Mechaniker.
Welder,Construction Worker,explained to,neutral,male,male,The welder explained to the construction worker.,first,Der Schweißer erklärte es dem Bauarbeiter.
Software Developer,Plumber,controlled,dominant,male,male,The software developer controlled the plumber.,first,Der Softwareentwickler kontrollierte den Klempner.
Dental Hygienist,Flight Attendant,asked,neutral,female,female,The dental hygienist asked the flight attendant.,first,Die Dentalhygienikerin fragte die Flugbegleiterin.
Car Mechanic,Primary School Teacher,asked,neutral,male,female,The car mechanic asked the primary school teacher.,first,Der Kfz-Mechaniker fragte die Grundschullehrerin.
Nurse,Construction Worker,nurtured,caring,female,male,The nurse nurtured the construction worker.,first,Die Krankenschwester betreute den Bauarbeiter.
Nurse,Speech Therapist,nurtured,caring,female,female,The nurse nurtured the speech therapist.,first,Die Krankenschwester betreute die Logopädin.
Primary School Teacher,Speech Therapist,informed,neutral,female,female,The primary school teacher informed the speech therapist.,first,Die Grundschullehrerin informierte die Logopädin.
Dental Hygienist,Primary School Teacher,told,neutral,female,female,The dental hygienist told the primary school teacher.,first,Die Dentalhygienikerin sagte es der Grundschullehrerin.
Electrician,HR Specialist,told,neutral,male,female,The electrician told the hr specialist.,first,Der Elektriker sagte es der Personalreferentin.
Administrative Assistant,Welder,asked,neutral,female,male,The administrative assistant asked the welder.,first,Die Verwaltungsangestellte fragte den Schweißer.
Mechanical Engineer,Electrician,nurtured,caring,male,male,The mechanical engineer nurtured the electrician.,first,Der Maschinenbauingenieur betreute den Elektriker.
Police Officer,Flight Attendant,instructed,dominant,male,female,The police officer instructed the flight attendant.,first,Der Polizist wies die Flugbegleiterin an.
Primary School Teacher,Flight Attendant,asked,neutral,female,female,The primary school teacher asked the flight attendant.,first,Die Grundschullehrerin fragte die Flugbegleiterin.
Welder,Car Mechanic,described to,neutral,male,male,The welder described to the car mechanic.,first,Der Schweißer beschrieb es dem Kfz-Mechaniker.
Welder,Flight Attendant,cared for,caring,male,female,The welder cared for the flight attendant.,first,Der Schweißer kümmerte sich um die Flugbegleiterin.
Librarian,Electrician,ordered,dominant,female,male,The librarian ordered the electrician.,first,Die Bibliothekarin befahl es dem Elektriker.
HR Specialist,Mechanical Engineer,commanded,dominant,female,male,The hr specialist commanded the mechanical engineer.,first,Die Personalreferentin befahl es dem Maschinenbauingenieur.
