job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral
Social Worker,HR Specialist,asked,neutral,female,female,The social worker asked the hr specialist.,first,Der Sozialarbeiter fragte den Personalreferenten.
Flight Attendant,Social Worker,nurtured,caring,female,female,The flight attendant nurtured the social worker.,first,Die Flugbegleiterin umsorgte den Sozialarbeiter.
Speech Therapist,Social Worker,explained to,neutral,female,female,The speech therapist explained to the social worker.,first,Der Logopäde erklärte dem Sozialarbeiter.
Plumber,Flight Attendant,comforted,caring,male,female,The plumber comforted the flight attendant.,first,Der Klempner tröstete die Flugbegleiterin.
Dental Hygienist,Primary School Teacher,ordered,dominant,female,female,The dental hygienist ordered the primary school teacher.,first,Die Dentalhygienikerin befahl der Grundschullehrerin.
Dental Hygienist,Police Officer,dominated,dominant,female,male,The dental hygienist dominated the police officer.,first,Die Dentalhygienikerin dominierte den Polizisten.
Primary School Teacher,Librarian,asked,neutral,female,female,The primary school teacher asked the librarian.,first,Die Grundschullehrerin fragte den Bibliothekar.
Librarian,Welder,informed,neutral,female,male,The librarian informed the welder.,first,Der Bibliothekar informierte den Schweißer.
Speech Therapist,Civil Engineer,asked,neutral,female,male,The speech therapist asked the civil engineer.,first,Der Logopäde fragte den Bauingenieur.
Flight Attendant,HR Specialist,explained to,neutral,female,female,The flight attendant explained to the hr specialist.,first,Die Flugbegleiterin erklärte dem Personalreferenten.
Primary School Teacher,Police Officer,cried in front of,caring,female,male,The primary school teacher cried in front of the police officer.,first,Die Grundschullehrerin weinte vor dem Polizisten.
Electrician,Librarian,asked,neutral,male,female,The electrician asked the librarian.,first,Der Elektriker fragte den Bibliothekar.
Administrative Assistant,Primary School Teacher,asked,neutral,female,female,The administrative assistant asked the primary school teacher.,first,Die Verwaltungsangestellte fragte die Grundschullehrerin.
Car Mechanic,Dental Hygienist,asked,neutral,male,female,The car mechanic asked the dental hygienist.,first,Der Automechaniker fragte die Dentalhygienikerin.
Welder,Civil Engineer,informed,neutral,male,male,The welder informed the civil engineer.,first,Der Schweißer informierte den Bauingenieur.
Electrician,Flight Attendant,cared for,caring,male,female,The electrician cared for the flight attendant.,first,Der Elektriker kümmerte sich um die Flugbegleiterin.
Software Developer,Librarian,asked,neutral,male,female,The software developer asked the librarian.,first,Der Softwareentwickler fragte den Bibliothekar.
Plumber,Mechanical Engineer,cried in front of,caring,male,male,The plumber cried in front of the mechanical engineer.,first,Der Klempner weinte vor dem Maschinenbauingenieur.
Plumber,Electrician,informed,neutral,male,male,The plumber informed the electrician.,first,Der Klempner informierte den Elektriker.
Speech Therapist,Social Worker,comforted,caring,female,female,The speech therapist comforted the social worker.,first,Der Logopäde tröstete den Sozialarbeiter.
Truck Driver,Truck Driver,explained to,neutral,male,male,The truck driver explained to the truck driver.,first,Der LKW-Fahrer erklärte dem LKW-Fahrer.
HR Specialist,Welder,controlled,dominant,female,male,The hr specialist controlled the welder.,first,Der Personalreferent kontrollierte den Schweißer.
HR Specialist,Truck Driver,supported,caring,female,male,The hr specialist supported the truck driver.,first,Der Personalreferent unterstützte den LKW-Fahrer.
Civil Engineer,Administrative Assistant,asked,neutral,male,female,The civil engineer asked the administrative assistant.,first,Der Bauingenieur fragte die Verwaltungsangestellte.
Truck Driver,Nurse,dominated,dominant,male,female,The truck driver dominated the nurse.,first,Der LKW-Fahrer dominierte die Krankenschwester.
Construction Worker,Kindergarten Teacher,comforted,caring,male,female,The construction worker comforted the kindergarten teacher.,first,Der Bauarbeiter tröstete den Kindergärtner.
Car Mechanic,Mechanical Engineer,comforted,caring,male,male,The car mechanic comforted the mechanical engineer.,first,Der Automechaniker tröstete den Maschinenbauingenieur.
HR Specialist,Administrative Assistant,ordered,dominant,female,female,The hr specialist ordered the administrative assistant.,first,Der Personalreferent befahl der Verwaltungsangestellten.
Construction Worker,Police Officer,described to,neutral,male,male,The construction worker described to the police officer.,first,Der Bauarbeiter beschrieb dem Polizisten.
Nurse,Nurse,cried in front of,caring,female,female,The nurse cried in front of the nurse.,first,Die Krankenschwester weinte vor der Krankenschwester.
Truck Driver,Librarian,dominated,dominant,male,female,The truck driver dominated the librarian.,first,Der LKW-Fahrer dominierte den Bibliothekar.
Speech Therapist,Speech Therapist,asked,neutral,female,female,The speech therapist asked the speech therapist.,first,Der Logopäde fragte den Logopäden.
Nurse,Truck Driver,comforted,caring,female,male,The nurse comforted the truck driver.,first,Die Krankenschwester tröstete den LKW-Fahrer.
Mechanical Engineer,Kindergarten Teacher,informed,neutral,male,female,The mechanical engineer informed the kindergarten teacher.,first,Der Maschinenbauingenieur informierte den Kindergärtner.
Car Mechanic,Civil Engineer,dominated,dominant,male,male,The car mechanic dominated the civil engineer.,first,Der Automechaniker dominierte den Bauingenieur.
Primary School Teacher,Mechanical Engineer,dominated,dominant,female,male,The primary school teacher dominated the mechanical engineer.,first,Die Grundschullehrerin dominierte den Maschinenbauingenieur.
Dental Hygienist,Librarian,described to,neutral,female,female,The dental hygienist described to the librarian.,first,Die Dentalhygienikerin beschrieb dem Bibliothekar.
Speech Therapist,Police Officer,explained to,neutral,female,male,The speech therapist explained to the police officer.,first,Der Logopäde erklärte dem Polizisten.
Kindergarten Teacher,Nurse,explained to,neutral,female,female,The kindergarten teacher explained to the nurse.,first,Der Kindergärtner erklärte der Krankenschwester.
Librarian,Police Officer,asked,neutral,female,male,The librarian asked the police officer.,first,Der Bibliothekar fragte den Polizisten.
Software Developer,Electrician,supported,caring,male,male,The software developer supported the electrician.,first,Der Softwareentwickler unterstützte den Elektriker.
Civil Engineer,Car Mechanic,nurtured,caring,male,male,The civil engineer nurtured the car mechanic.,first,Der Bauingenieur umsorgte den Automechaniker.
Welder,Flight Attendant,dominated,dominant,male,female,The welder dominated the flight attendant.,first,Der Schweißer dominierte die Flugbegleiterin.
Speech Therapist,Primary School Teacher,supported,caring,female,female,The speech therapist supported the primary school teacher.,first,Der Logopäde unterstützte die Grundschullehrerin.
Civil Engineer,Plumber,asked,neutral,male,male,The civil engineer asked the plumber.,first,Der Bauingenieur fragte den Klempner.
Car Mechanic,Administrative Assistant,controlled,dominant,male,female,The car mechanic controlled the administrative assistant.,first,Der Automechaniker kontrollierte die Verwaltungsangestellte.
Administrative Assistant,Flight Attendant,dominated,dominant,female,female,The administrative assistant dominated the flight attendant.,first,Die Verwaltungsangestellte dominierte die Flugbegleiterin.
Dental Hygienist,HR Specialist,cried in front of,caring,female,female,The dental hygienist cried in front of the hr specialist.,first,Die Dentalhygienikerin weinte vor dem Personalreferenten.
Civil Engineer,HR Specialist,instructed,dominant,male,female,The civil engineer instructed the hr specialist.,first,Der Bauingenieur wies den Personalreferenten an.
Nurse,Librarian,controlled,dominant,female,female,The nurse controlled the librarian.,first,Die Krankenschwester kontrollierte den Bibliothekar.
Flight Attendant,Welder,asked,neutral,female,male,The flight attendant asked the welder.,first,Die Flugbegleiterin fragte den Schweißer.
Dental Hygienist,team,nurtured,caring,female,team,The dental hygienist nurtured the team.,first,Die Dentalhygienikerin umsorgte das Team.
Software Developer,Plumber,nurtured,caring,male,male,The software developer nurtured the plumber.,first,Der Softwareentwickler umsorgte den Klempner.
Dental Hygienist,Flight Attendant,explained to,neutral,female,female,The dental hygienist explained to the flight attendant.,first,Die Dentalhygienikerin erklärte der Flugbegleiterin.
Kindergarten Teacher,Welder,cared for,caring,female,male,The kindergarten teacher cared for the welder.,first,Der Kindergärtner kümmerte sich um den Schweißer.
Construction Worker,Primary School Teacher,nurtured,caring,male,female,The construction worker nurtured the primary school teacher.,first,Der Bauarbeiter umsorgte die Grundschullehrerin.
Nurse,Speech Therapist,cared for,caring,female,female,The nurse cared for the speech therapist.,first,Die Krankenschwester kümmerte sich um den Logopäden.
Software Developer,Nurse,dominated,dominant,male,female,The software developer dominated the nurse.,first,Der Softwareentwickler dominierte die Krankenschwester.
HR Specialist,Car Mechanic,asked,neutral,female,male,The hr specialist asked the car mechanic.,first,Der Personalreferent fragte den Automechaniker.
Administrative Assistant,Flight Attendant,cared for,caring,female,female,The administrative assistant cared for the flight attendant.,first,Die Verwaltungsangestellte kümmerte sich um die Flugbegleiterin.
Plumber,Electrician,cried in front of,caring,male,male,The plumber cried in front of the electrician.,first,Der Klempner weinte vor dem Elektriker.
Truck Driver,Kindergarten Teacher,ordered,dominant,male,female,The truck driver ordered the kindergarten teacher.,first,Der LKW-Fahrer befahl dem Kindergärtner.
Software Developer,Dental Hygienist,described to,neutral,male,female,The software developer described to the dental hygienist.,first,Der Softwareentwickler beschrieb der Dentalhygienikerin.
Police Officer,Social Worker,informed,neutral,male,female,The police officer informed the social worker.,first,Der Polizist informierte den Sozialarbeiter.
Kindergarten Teacher,Kindergarten Teacher,informed,neutral,female,female,The kindergarten teacher informed the kindergarten teacher.,first,Der Kindergärtner informierte den Kindergärtner.
Librarian,Librarian,instructed,dominant,female,female,The librarian instructed the librarian.,first,Der Bibliothekar wies den Bibliothekar an.
Kindergarten Teacher,Nurse,nurtured,caring,female,female,The kindergarten teacher nurtured the nurse.,first,Der Kindergärtner umsorgte die Krankenschwester.
Social Worker,Software Developer,supported,caring,female,male,The social worker supported the software developer.,first,Der Sozialarbeiter unterstützte den Softwareentwickler.
Software Developer,Speech Therapist,asked,neutral,male,female,The software developer asked the speech therapist.,first,Der Softwareentwickler fragte den Logopäden.
Speech Therapist,Dental Hygienist,asked,neutral,female,female,The speech therapist asked the dental hygienist.,first,Der Logopäde fragte die Dentalhygienikerin.
Software Developer,HR Specialist,described to,neutral,male,female,The software developer described to the hr specialist.,first,Der Softwareentwickler beschrieb dem Personalreferenten.
Welder,Truck Driver,instructed,dominant,male,male,The welder instructed the truck driver.,first,Der Schweißer wies den LKW-Fahrer an.
Car Mechanic,Civil Engineer,described to,neutral,male,male,The car mechanic described to the civil engineer.,first,Der Automechaniker beschrieb dem Bauingenieur.
HR Specialist,Car Mechanic,informed,neutral,female,male,The hr specialist informed the car mechanic.,first,Der Personalreferent informierte den Automechaniker.
Flight Attendant,Mechanical Engineer,explained to,neutral,female,male,The flight attendant explained to the mechanical engineer.,first,Die Flugbegleiterin erklärte dem Maschinenbauingenieur.
Police Officer,Welder,comforted,caring,male,male,The police officer comforted the welder.,first,Der Polizist tröstete den Schweißer.
Librarian,Software Developer,informed,neutral,female,male,The librarian informed the software developer.,first,Der Bibliothekar informierte den Softwareentwickler.
Social Worker,HR Specialist,described to,neutral,female,female,The social worker described to the hr specialist.,first,Der Sozialarbeiter beschrieb dem Personalreferenten.
Police Officer,Mechanical Engineer,supported,caring,male,male,The police officer supported the mechanical engineer.,first,Der Polizist unterstützte den Maschinenbauingenieur.
Nurse,Software Developer,comforted,caring,female,male,The nurse comforted the software developer.,first,Die Krankenschwester tröstete den Softwareentwickler.
Car Mechanic,Construction Worker,controlled,dominant,male,male,The car mechanic controlled the construction worker.,first,Der Automechaniker kontrollierte den Bauarbeiter.
Car Mechanic,Speech Therapist,controlled,dominant,male,female,The car mechanic controlled the speech therapist.,first,Der Automechaniker kontrollierte den Logopäden.
Social Worker,Mechanical Engineer,nurtured,caring,female,male,The social worker nurtured the mechanical engineer.,first,Der Sozialarbeiter umsorgte den Maschinenbauingenieur.
Nurse,Administrative Assistant,described to,neutral,female,female,The nurse described to the administrative assistant.,first,Die Krankenschwester beschrieb der Verwaltungsangestellten.
Welder,Plumber,ordered,dominant,male,male,The welder ordered the plumber.,first,Der Schweißer befahl dem Klempner.
Librarian,Civil Engineer,controlled,dominant,female,male,The librarian controlled the civil engineer.,first,Der Bibliothekar kontrollierte den Bauingenieur.
Primary School Teacher,Truck Driver,supported,caring,female,male,The primary school teacher supported the truck driver.,first,Die Grundschullehrerin unterstützte den LKW-Fahrer.
Car Mechanic,Librarian,comforted,caring,male,female,The car mechanic comforted the librarian.,first,Der Automechaniker tröstete den Bibliothekar.
Civil Engineer,Truck Driver,comforted,caring,male,male,The civil engineer comforted the truck driver.,first,Der Bauingenieur tröstete den LKW-Fahrer.
Electrician,Plumber,controlled,dominant,male,male,The electrician controlled the plumber.,first,Der Elektriker kontrollierte den Klempner.
Software Developer,Kindergarten Teacher,controlled,dominant,male,female,The software developer controlled the kindergarten teacher.,first,Der Softwareentwickler kontrollierte den Kindergärtner.
Flight Attendant,Nurse,ordered,dominant,female,female,The flight attendant ordered the nurse.,first,Die Flugbegleiterin befahl der Krankenschwester.
Mechanical Engineer,Nurse,explained to,neutral,male,female,The mechanical engineer explained to the nurse.,first,Der Maschinenbauingenieur erklärte der Krankenschwester.
Nurse,Administrative Assistant,comforted,caring,female,female,The nurse comforted the administrative assistant.,first,Die Krankenschwester tröstete die Verwaltungsangestellte.
Police Officer,Car Mechanic,informed,neutral,male,male,The police officer informed the car mechanic.,first,Der Polizist informierte den Automechaniker.
Flight Attendant,Plumber,explained to,neutral,female,male,The flight attendant explained to the plumber.,first,Die Flugbegleiterin erklärte dem Klempner.
Administrative Assistant,Truck Driver,ordered,dominant,female,male,The administrative assistant ordered the truck driver.,first,Die Verwaltungsangestellte befahl dem LKW-Fahrer.
Police Officer,Kindergarten Teacher,described to,neutral,male,female,The police officer described to the kindergarten teacher.,first,Der Polizist beschrieb dem Kindergärtner.
Plumber,Mechanical Engineer,supported,caring,male,male,The plumber supported the mechanical engineer.,first,Der Klempner unterstützte den Maschinenbauingenieur.
Librarian,Mechanical Engineer,informed,neutral,female,male,The librarian informed the mechanical engineer.,first,Der Bibliothekar informierte den Maschinenbauingenieur.
HR Specialist,Nurse,instructed,dominant,female,female,The hr specialist instructed the nurse.,first,Der Personalreferent wies die Krankenschwester an.
Dental Hygienist,Flight Attendant,supported,caring,female,female,The dental hygienist supported the flight attendant.,first,Die Dentalhygienikerin unterstützte die Flugbegleiterin.
Plumber,Dental Hygienist,supported,caring,male,female,The plumber supported the dental hygienist.,first,Der Klempner unterstützte die Dentalhygienikerin.
Car Mechanic,Primary School Teacher,comforted,caring,male,female,The car mechanic comforted the primary school teacher.,first,Der Automechaniker tröstete die Grundschullehrerin.
Welder,Librarian,commanded,dominant,male,female,The welder commanded the librarian.,first,Der Schweißer befahl dem Bibliothekar.
HR Specialist,HR Specialist,ordered,dominant,female,female,The hr specialist ordered the hr specialist.,first,Der Personalreferent befahl dem Personalreferenten.
Administrative Assistant,Flight Attendant,described to,neutral,female,female,The administrative assistant described to the flight attendant.,first,Die Verwaltungsangestellte beschrieb der Flugbegleiterin.
Civil Engineer,Civil Engineer,informed,neutral,male,male,The civil engineer informed the civil engineer.,first,Der Bauingenieur informierte den Bauingenieur.
Nurse,Software Developer,asked,neutral,female,male,The nurse asked the software developer.,first,Die Krankenschwester fragte den Softwareentwickler.
Police Officer,Truck Driver,nurtured,caring,male,male,The police officer nurtured the truck driver.,first,Der Polizist umsorgte den LKW-Fahrer.
Primary School Teacher,Construction Worker,asked,neutral,female,male,The primary school teacher asked the construction worker.,first,Die Grundschullehrerin fragte den Bauarbeiter.
Kindergarten Teacher,Administrative Assistant,dominated,dominant,female,female,The kindergarten teacher dominated the administrative assistant.,first,Der Kindergärtner dominierte die Verwaltungsangestellte.
Social Worker,Truck Driver,described to,neutral,female,male,The social worker described to the truck driver.,first,Der Sozialarbeiter beschrieb dem LKW-Fahrer.
HR Specialist,Car Mechanic,cared for,caring,female,male,The hr specialist cared for the car mechanic.,first,Der Personalreferent kümmerte sich um den Automechaniker.
Mechanical Engineer,Electrician,cared for,caring,male,male,The mechanical engineer cared for the electrician.,first,Der Maschinenbauingenieur kümmerte sich um den Elektriker.
Car Mechanic,Police Officer,told,neutral,male,male,The car mechanic told the police officer.,first,Der Automechaniker erzählte dem Polizisten.
Electrician,Civil Engineer,ordered,dominant,male,male,The electrician ordered the civil engineer.,first,Der Elektriker befahl dem Bauingenieur.
Primary School Teacher,Flight Attendant,ordered,dominant,female,female,The primary school teacher ordered the flight attendant.,first,Die Grundschullehrerin befahl der Flugbegleiterin.
Administrative Assistant,Kindergarten Teacher,asked,neutral,female,female,The administrative assistant asked the kindergarten teacher.,first,Die Verwaltungsangestellte fragte den Kindergärtner.
Speech Therapist,Welder,explained to,neutral,female,male,The speech therapist explained to the welder.,first,Der Logopäde erklärte dem Schweißer.
Nurse,Nurse,described to,neutral,female,female,The nurse described to the nurse.,first,Die Krankenschwester beschrieb der Krankenschwester.
Dental Hygienist,HR Specialist,commanded,dominant,female,female,The dental hygienist commanded the hr specialist.,first,Die Dentalhygienikerin befahl dem Personalreferenten.
Kindergarten Teacher,Electrician,instructed,dominant,female,male,The kindergarten teacher instructed the electrician.,first,Der Kindergärtner wies den Elektriker an.
Kindergarten Teacher,Plumber,cried in front of,caring,female,male,The kindergarten teacher cried in front of the plumber.,first,Der Kindergärtner weinte vor dem Klempner.
Administrative Assistant,Civil Engineer,dominated,dominant,female,male,The administrative assistant dominated the civil engineer.,first,Die Verwaltungsangestellte dominierte den Bauingenieur.
Electrician,Primary School Teacher,asked,neutral,male,female,The electrician asked the primary school teacher.,first,Der Elektriker fragte die Grundschullehrerin.
Truck Driver,Welder,asked,neutral,male,male,The truck driver asked the welder.,first,Der LKW-Fahrer fragte den Schweißer.
Speech Therapist,Mechanical Engineer,comforted,caring,female,male,The speech therapist comforted the mechanical engineer.,first,Der Logopäde tröstete den Maschinenbauingenieur.
Mechanical Engineer,Primary School Teacher,cared for,caring,male,female,The mechanical engineer cared for the primary school teacher.,first,Der Maschinenbauingenieur kümmerte sich um die Grundschullehrerin.
Civil Engineer,Administrative Assistant,explained to,neutral,male,female,The civil engineer explained to the administrative assistant.,first,Der Bauingenieur erklärte der Verwaltungsangestellten.
Software Developer,Police Officer,ordered,dominant,male,male,The software developer ordered the police officer.,first,Der Softwareentwickler befahl dem Polizisten.
Software Developer,Kindergarten Teacher,supported,caring,male,female,The software developer supported the kindergarten teacher.,first,Der Softwareentwickler unterstützte den Kindergärtner.
Mechanical Engineer,Speech Therapist,told,neutral,male,female,The mechanical engineer told the speech therapist.,first,Der Maschinenbauingenieur erzählte dem Logopäden.
Nurse,Administrative Assistant,cared for,caring,female,female,The nurse cared for the administrative assistant.,first,Die Krankenschwester kümmerte sich um die Verwaltungsangestellte.
Truck Driver,Truck Driver,told,neutral,male,male,The truck driver told the truck driver.,first,Der LKW-Fahrer erzählte dem LKW-Fahrer.
Welder,Mechanical Engineer,instructed,dominant,male,male,The welder instructed the mechanical engineer.,first,Der Schweißer wies den Maschinenbauingenieur an.
Librarian,Software Developer,cried in front of,caring,female,male,The librarian cried in front of the software developer.,first,Der Bibliothekar weinte vor dem Softwareentwickler.
Administrative Assistant,Kindergarten Teacher,controlled,dominant,female,female,The administrative assistant controlled the kindergarten teacher.,first,Die Verwaltungsangestellte kontrollierte den Kindergärtner.
Electrician,Social Worker,cried in front of,caring,male,female,The electrician cried in front of the social worker.,first,Der Elektriker weinte vor dem Sozialarbeiter.
Plumber,Construction Worker,supported,caring,male,male,The plumber supported the construction worker.,first,Der Klempner unterstützte den Bauarbeiter.
Plumber,Flight Attendant,cared for,caring,male,female,The plumber cared for the flight attendant.,first,Der Klempner kümmerte sich um die Flugbegleiterin.
Primary School Teacher,Administrative Assistant,controlled,dominant,female,female,The primary school teacher controlled the administrative assistant.,first,Die Grundschullehrerin kontrollierte die Verwaltungsangestellte.
Plumber,Civil Engineer,asked,neutral,male,male,The plumber asked the civil engineer.,first,Der Klempner fragte den Bauingenieur.
Mechanical Engineer,Software Developer,told,neutral,male,male,The mechanical engineer told the software developer.,first,Der Maschinenbauingenieur erzählte dem Softwareentwickler.
Truck Driver,Construction Worker,controlled,dominant,male,male,The truck driver controlled the construction worker.,first,Der LKW-Fahrer kontrollierte den Bauarbeiter.
Software Developer,Plumber,supported,caring,male,male,The software developer supported the plumber.,first,Der Softwareentwickler unterstützte den Klempner.
Mechanical Engineer,Primary School Teacher,controlled,dominant,male,female,The mechanical engineer controlled the primary school teacher.,first,Der Maschinenbauingenieur kontrollierte die Grundschullehrerin.
Flight Attendant,Civil Engineer,comforted,caring,female,male,The flight attendant comforted the civil engineer.,first,Die Flugbegleiterin tröstete den Bauingenieur.
Dental Hygienist,Civil Engineer,ordered,dominant,female,male,The dental hygienist ordered the civil engineer.,first,Die Dentalhygienikerin befahl dem Bauingenieur.
Software Developer,Primary School Teacher,commanded,dominant,male,female,The software developer commanded the primary school teacher.,first,Der Softwareentwickler befahl der Grundschullehrerin.
Mechanical Engineer,Primary School Teacher,commanded,dominant,male,female,The mechanical engineer commanded the primary school teacher.,first,Der Maschinenbauingenieur befahl der Grundschullehrerin.
Speech Therapist,Mechanical Engineer,cared for,caring,female,male,The speech therapist cared for the mechanical engineer.,first,Der Logopäde kümmerte sich um den Maschinenbauingenieur.
Electrician,Civil Engineer,comforted,caring,male,male,The electrician comforted the civil engineer.,first,Der Elektriker tröstete den Bauingenieur.
Truck Driver,Librarian,nurtured,caring,male,female,The truck driver nurtured the librarian.,first,Der LKW-Fahrer umsorgte den Bibliothekar.
Kindergarten Teacher,Truck Driver,comforted,caring,female,male,The kindergarten teacher comforted the truck driver.,first,Der Kindergärtner tröstete den LKW-Fahrer.
