job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation,article1,job1_word,article2,job2_word,gender_job1_extracted,gender_job2_extracted
Kindergarten Teacher,Welder,cared for,caring,female,male,The kindergarten teacher cared for the welder.,first,Der Erzieher kümmerte sich um den Schweißer.,Der,Erzieher,den,Schweißer,male,male
Construction Worker,Primary School Teacher,nurtured,caring,male,female,The construction worker nurtured the primary school teacher.,first,Der Bauarbeiter umsorgte den Grundschullehrer.,Der,Bauarbeiter,den,Grundschullehrer,male,male
Nurse,Speech Therapist,cared for,caring,female,female,The nurse cared for the speech therapist.,first,Die Krankenschwester kümmerte sich um den Logopäden.,Die,Krankenschwester,den,Logopäden,female,male
Software Developer,Nurse,dominated,dominant,male,female,The software developer dominated the nurse.,first,Der Softwareentwickler dominierte die Krankenschwester.,Der,Softwareentwickler,die,Krankenschwester,male,female
HR Specialist,Car Mechanic,asked,neutral,female,male,The hr specialist asked the car mechanic.,first,Der Personalreferent fragte den Automechaniker.,Der,Personalreferent,den,Automechaniker,male,male
Administrative Assistant,Flight Attendant,cared for,caring,female,female,The administrative assistant cared for the flight attendant.,first,Der Verwaltungsassistent kümmerte sich um die Flugbegleiterin.,Der,Verwaltungsassistent,die,Flugbegleiterin,male,female
Plumber,Electrician,cried in front of,caring,male,male,The plumber cried in front of the electrician.,first,Der Klempner weinte vor dem Elektriker.,Der,Klempner,dem,Elektriker,male,male
Truck Driver,Kindergarten Teacher,ordered,dominant,male,female,The truck driver ordered the kindergarten teacher.,first,Der LKW-Fahrer befahl dem Erzieher.,Der,LKW-Fahrer,dem,Erzieher,male,male
Software Developer,Dental Hygienist,described to,neutral,male,female,The software developer described to the dental hygienist.,first,Der Softwareentwickler beschrieb der Dentalhygienikerin.,Der,Softwareentwickler,der,Dentalhygienikerin,male,female
Police Officer,Social Worker,informed,neutral,male,female,The police officer informed the social worker.,first,Der Polizist informierte den Sozialarbeiter.,Der,Polizist,den,Sozialarbeiter,male,male
Kindergarten Teacher,Kindergarten Teacher,informed,neutral,female,female,The kindergarten teacher informed the kindergarten teacher.,first,Der Erzieher informierte den Erzieher.,Der,Erzieher,den,Erzieher,male,male
Librarian,Librarian,instructed,dominant,female,female,The librarian instructed the librarian.,first,Der Bibliothekar wies den Bibliothekar an.,Der,Bibliothekar,den,Bibliothekar,male,male
Kindergarten Teacher,Nurse,nurtured,caring,female,female,The kindergarten teacher nurtured the nurse.,first,Der Erzieher umsorgte die Krankenschwester.,Der,Erzieher,die,Krankenschwester,male,female
Social Worker,Software Developer,supported,caring,female,male,The social worker supported the software developer.,first,Der Sozialarbeiter unterstützte den Softwareentwickler.,Der,Sozialarbeiter,den,Softwareentwickler,male,male
Software Developer,Speech Therapist,asked,neutral,male,female,The software developer asked the speech therapist.,first,Der Softwareentwickler fragte den Logopäden.,Der,Softwareentwickler,den,Logopäden,male,male
Speech Therapist,Dental Hygienist,asked,neutral,female,female,The speech therapist asked the dental hygienist.,first,Der Logopäde fragte die Dentalhygienikerin.,Der,Logopäde,die,Dentalhygienikerin,male,female
Software Developer,HR Specialist,described to,neutral,male,female,The software developer described to the hr specialist.,first,Der Softwareentwickler beschrieb dem Personalreferenten.,Der,Softwareentwickler,dem,Personalreferenten,male,male
Welder,Truck Driver,instructed,dominant,male,male,The welder instructed the truck driver.,first,Der Schweißer wies den LKW-Fahrer an.,Der,Schweißer,den,LKW-Fahrer,male,male
Car Mechanic,Civil Engineer,described to,neutral,male,male,The car mechanic described to the civil engineer.,first,Der Automechaniker beschrieb dem Bauingenieur.,Der,Automechaniker,dem,Bauingenieur,male,male
HR Specialist,Car Mechanic,informed,neutral,female,male,The hr specialist informed the car mechanic.,first,Der Personalreferent informierte den Automechaniker.,Der,Personalreferent,den,Automechaniker,male,male
Flight Attendant,Mechanical Engineer,explained to,neutral,female,male,The flight attendant explained to the mechanical engineer.,first,Die Flugbegleiterin erklärte dem Maschinenbauingenieur.,Die,Flugbegleiterin,dem,Maschinenbauingenieur,female,male
Police Officer,Welder,comforted,caring,male,male,The police officer comforted the welder.,first,Der Polizist tröstete den Schweißer.,Der,Polizist,den,Schweißer,male,male
Librarian,Software Developer,informed,neutral,female,male,The librarian informed the software developer.,first,Der Bibliothekar informierte den Softwareentwickler.,Der,Bibliothekar,den,Softwareentwickler,male,male
Social Worker,HR Specialist,described to,neutral,female,female,The social worker described to the hr specialist.,first,Der Sozialarbeiter beschrieb dem Personalreferenten.,Der,Sozialarbeiter,dem,Personalreferenten,male,male
Police Officer,Mechanical Engineer,supported,caring,male,male,The police officer supported the mechanical engineer.,first,Der Polizist unterstützte den Maschinenbauingenieur.,Der,Polizist,den,Maschinenbauingenieur,male,male
Nurse,Software Developer,comforted,caring,female,male,The nurse comforted the software developer.,first,Die Krankenschwester tröstete den Softwareentwickler.,Die,Krankenschwester,den,Softwareentwickler,female,male
Car Mechanic,Construction Worker,controlled,dominant,male,male,The car mechanic controlled the construction worker.,first,Der Automechaniker kontrollierte den Bauarbeiter.,Der,Automechaniker,den,Bauarbeiter,male,male
Car Mechanic,Speech Therapist,controlled,dominant,male,female,The car mechanic controlled the speech therapist.,first,Der Automechaniker kontrollierte den Logopäden.,Der,Automechaniker,den,Logopäden,male,male
Social Worker,Mechanical Engineer,nurtured,caring,female,male,The social worker nurtured the mechanical engineer.,first,Der Sozialarbeiter umsorgte den Maschinenbauingenieur.,Der,Sozialarbeiter,den,Maschinenbauingenieur,male,male
Nurse,Administrative Assistant,described to,neutral,female,female,The nurse described to the administrative assistant.,first,Die Krankenschwester beschrieb dem Verwaltungsassistenten.,Die,Krankenschwester,dem,Verwaltungsassistenten,female,male
Welder,Plumber,ordered,dominant,male,male,The welder ordered the plumber.,first,Der Schweißer befahl dem Klempner.,Der,Schweißer,dem,Klempner,male,male
Librarian,Civil Engineer,controlled,dominant,female,male,The librarian controlled the civil engineer.,first,Der Bibliothekar kontrollierte den Bauingenieur.,Der,Bibliothekar,den,Bauingenieur,male,male
Primary School Teacher,Truck Driver,supported,caring,female,male,The primary school teacher supported the truck driver.,first,Der Grundschullehrer unterstützte den LKW-Fahrer.,Der,Grundschullehrer,den,LKW-Fahrer,male,male
Car Mechanic,Librarian,comforted,caring,male,female,The car mechanic comforted the librarian.,first,Der Automechaniker tröstete den Bibliothekar.,Der,Automechaniker,den,Bibliothekar,male,male
Civil Engineer,Truck Driver,comforted,caring,male,male,The civil engineer comforted the truck driver.,first,Der Bauingenieur tröstete den LKW-Fahrer.,Der,Bauingenieur,den,LKW-Fahrer,male,male
Electrician,Plumber,controlled,dominant,male,male,The electrician controlled the plumber.,first,Der Elektriker kontrollierte den Klempner.,Der,Elektriker,den,Klempner,male,male
Software Developer,Kindergarten Teacher,controlled,dominant,male,female,The software developer controlled the kindergarten teacher.,first,Der Softwareentwickler kontrollierte den Erzieher.,Der,Softwareentwickler,den,Erzieher,male,male
Flight Attendant,Nurse,ordered,dominant,female,female,The flight attendant ordered the nurse.,first,Die Flugbegleiterin befahl der Krankenschwester.,Die,Flugbegleiterin,der,Krankenschwester,female,female
Mechanical Engineer,Nurse,explained to,neutral,male,female,The mechanical engineer explained to the nurse.,first,Der Maschinenbauingenieur erklärte der Krankenschwester.,Der,Maschinenbauingenieur,der,Krankenschwester,male,female
Nurse,Administrative Assistant,comforted,caring,female,female,The nurse comforted the administrative assistant.,first,Die Krankenschwester tröstete den Verwaltungsassistenten.,Die,Krankenschwester,den,Verwaltungsassistenten,female,male
Police Officer,Car Mechanic,informed,neutral,male,male,The police officer informed the car mechanic.,first,Der Polizist informierte den Automechaniker.,Der,Polizist,den,Automechaniker,male,male
Flight Attendant,Plumber,explained to,neutral,female,male,The flight attendant explained to the plumber.,first,Die Flugbegleiterin erklärte dem Klempner.,Die,Flugbegleiterin,dem,Klempner,female,male
Administrative Assistant,Truck Driver,ordered,dominant,female,male,The administrative assistant ordered the truck driver.,first,Der Verwaltungsassistent befahl dem LKW-Fahrer.,Der,Verwaltungsassistent,dem,LKW-Fahrer,male,male
Police Officer,Kindergarten Teacher,described to,neutral,male,female,The police officer described to the kindergarten teacher.,first,Der Polizist beschrieb dem Erzieher.,Der,Polizist,dem,Erzieher,male,male
Plumber,Mechanical Engineer,supported,caring,male,male,The plumber supported the mechanical engineer.,first,Der Klempner unterstützte den Maschinenbauingenieur.,Der,Klempner,den,Maschinenbauingenieur,male,male
Librarian,Mechanical Engineer,informed,neutral,female,male,The librarian informed the mechanical engineer.,first,Der Bibliothekar informierte den Maschinenbauingenieur.,Der,Bibliothekar,den,Maschinenbauingenieur,male,male
