job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation_neutral,article1,job1_word,article2,job2_word,gender_job1_extracted,gender_job2_extracted
Kindergarten Teacher,Mechanical Engineer,asked,neutral,female,male,The kindergarten teacher asked the mechanical engineer.,first,Die Kindergärtnerin fragte den Maschinenbauingenieur.,Die,Kindergärtnerin,den,Maschinenbauingenieur,female,male
Construction Worker,Electrician,cried in front of,caring,male,male,The construction worker cried in front of the electrician.,first,Der Bauarbeiter weinte vor dem Elektriker.,Der,Bauarbeiter,dem,Elektriker,male,male
Primary School Teacher,Speech Therapist,asked,neutral,female,female,The primary school teacher asked the speech therapist.,first,Die Grundschullehrerin fragte die Logopädin.,Die,Grundschullehrerin,die,Logopädin,female,female
Plumber,Welder,described to,neutral,male,male,The plumber described to the welder.,first,Der Klempner beschrieb es dem Schweißer.,Der,Klempner,dem,Schweißer,male,male
Construction Worker,Construction Worker,described to,neutral,male,male,The construction worker described to the construction worker.,first,Der Bauarbeiter beschrieb es dem Bauarbeiter.,Der,Bauarbeiter,dem,Bauarbeiter,male,male
Kindergarten Teacher,Administrative Assistant,informed,neutral,female,female,The kindergarten teacher informed the administrative assistant.,first,Die Kindergärtnerin informierte die Verwaltungsangestellte.,Die,Kindergärtnerin,die,Verwaltungsangestellte,female,female
HR Specialist,Administrative Assistant,comforted,caring,female,female,The hr specialist comforted the administrative assistant.,first,Die Personalreferentin tröstete die Verwaltungsangestellte.,Die,Personalreferentin,die,Verwaltungsangestellte,female,female
Car Mechanic,Electrician,described to,neutral,male,male,The car mechanic described to the electrician.,first,Der Kfz-Mechaniker beschrieb es dem Elektriker.,Der,Kfz-Mechaniker,dem,Elektriker,male,male
Mechanical Engineer,Truck Driver,comforted,caring,male,male,The mechanical engineer comforted the truck driver.,first,Der Maschinenbauingenieur tröstete den Lkw-Fahrer.,Der,Maschinenbauingenieur,den,Lkw-Fahrer,male,male
Plumber,Primary School Teacher,comforted,caring,male,female,The plumber comforted the primary school teacher.,first,Der Klempner tröstete die Grundschullehrerin.,Der,Klempner,die,Grundschullehrerin,male,female
Truck Driver,HR Specialist,described to,neutral,male,female,The truck driver described to the hr specialist.,first,Der Lkw-Fahrer beschrieb es der Personalreferentin.,Der,Lkw-Fahrer,der,Personalreferentin,male,female
Plumber,Electrician,commanded,dominant,male,male,The plumber commanded the electrician.,first,Der Klempner befahl es dem Elektriker.,Der,Klempner,dem,Elektriker,male,male
Primary School Teacher,Primary School Teacher,ordered,dominant,female,female,The primary school teacher ordered the primary school teacher.,first,Die Grundschullehrerin befahl es der Grundschullehrerin.,Die,Grundschullehrerin,der,Grundschullehrerin,female,female
Flight Attendant,Truck Driver,dominated,dominant,female,male,The flight attendant dominated the truck driver.,first,Die Flugbegleiterin dominierte den Lkw-Fahrer.,Die,Flugbegleiterin,den,Lkw-Fahrer,female,male
Speech Therapist,Electrician,described to,neutral,female,male,The speech therapist described to the electrician.,first,Die Logopädin beschrieb es dem Elektriker.,Die,Logopädin,dem,Elektriker,female,male
Mechanical Engineer,Speech Therapist,described to,neutral,male,female,The mechanical engineer described to the speech therapist.,first,Der Maschinenbauingenieur beschrieb es der Logopädin.,Der,Maschinenbauingenieur,der,Logopädin,male,female
Dental Hygienist,Flight Attendant,ordered,dominant,female,female,The dental hygienist ordered the flight attendant.,first,Die Dentalhygienikerin befahl es der Flugbegleiterin.,Die,Dentalhygienikerin,der,Flugbegleiterin,female,female
Civil Engineer,Dental Hygienist,dominated,dominant,male,female,The civil engineer dominated the dental hygienist.,first,Der Bauingenieur dominierte die Dentalhygienikerin.,Der,Bauingenieur,die,Dentalhygienikerin,male,female
HR Specialist,Construction Worker,described to,neutral,female,male,The hr specialist described to the construction worker.,first,Die Personalreferentin beschrieb es dem Bauarbeiter.,Die,Personalreferentin,dem,Bauarbeiter,female,male
Flight Attendant,Speech Therapist,commanded,dominant,female,female,The flight attendant commanded the speech therapist.,first,Die Flugbegleiterin befahl es der Logopädin.,Die,Flugbegleiterin,der,Logopädin,female,female
Flight Attendant,Dental Hygienist,explained to,neutral,female,female,The flight attendant explained to the dental hygienist.,first,Die Flugbegleiterin erklärte es der Dentalhygienikerin.,Die,Flugbegleiterin,der,Dentalhygienikerin,female,female
Dental Hygienist,Car Mechanic,ordered,dominant,female,male,The dental hygienist ordered the car mechanic.,first,Die Dentalhygienikerin befahl es dem Kfz-Mechaniker.,Die,Dentalhygienikerin,dem,Kfz-Mechaniker,female,male
HR Specialist,Primary School Teacher,ordered,dominant,female,female,The hr specialist ordered the primary school teacher.,first,Die Personalreferentin befahl es der Grundschullehrerin.,Die,Personalreferentin,der,Grundschullehrerin,female,female
Dental Hygienist,Truck Driver,informed,neutral,female,male,The dental hygienist informed the truck driver.,first,Die Dentalhygienikerin informierte den Lkw-Fahrer.,Die,Dentalhygienikerin,den,Lkw-Fahrer,female,male
Speech Therapist,Mechanical Engineer,told,neutral,female,male,The speech therapist told the mechanical engineer.,first,Die Logopädin sagte es dem Maschinenbauingenieur.,Die,Logopädin,dem,Maschinenbauingenieur,female,male
Nurse,HR Specialist,instructed,dominant,female,female,The nurse instructed the hr specialist.,first,Die Krankenschwester wies die Personalreferentin an.,Die,Krankenschwester,die,Personalreferentin,female,female
Plumber,Dental Hygienist,asked,neutral,male,female,The plumber asked the dental hygienist.,first,Der Klempner fragte die Dentalhygienikerin.,Der,Klempner,die,Dentalhygienikerin,male,female
Civil Engineer,Nurse,nurtured,caring,male,female,The civil engineer nurtured the nurse.,first,Der Bauingenieur betreute die Krankenschwester.,Der,Bauingenieur,die,Krankenschwester,male,female
Software Developer,Kindergarten Teacher,cared for,caring,male,female,The software developer cared for the kindergarten teacher.,first,Der Softwareentwickler kümmerte sich um die Kindergärtnerin.,Der,Softwareentwickler,die,Kindergärtnerin,male,female
Speech Therapist,Plumber,supported,caring,female,male,The speech therapist supported the plumber.,first,Die Logopädin unterstützte den Klempner.,Die,Logopädin,den,Klempner,female,male
Administrative Assistant,HR Specialist,comforted,caring,female,female,The administrative assistant comforted the hr specialist.,first,Die Verwaltungsangestellte tröstete die Personalreferentin.,Die,Verwaltungsangestellte,die,Personalreferentin,female,female
Flight Attendant,Librarian,cried in front of,caring,female,female,The flight attendant cried in front of the librarian.,first,Die Flugbegleiterin weinte vor der Bibliothekarin.,Die,Flugbegleiterin,der,Bibliothekarin,female,female
Electrician,Electrician,asked,neutral,male,male,The electrician asked the electrician.,first,Der Elektriker fragte den Elektriker.,Der,Elektriker,den,Elektriker,male,male
Welder,Administrative Assistant,cried in front of,caring,male,female,The welder cried in front of the administrative assistant.,first,Der Schweißer weinte vor der Verwaltungsangestellten.,Der,Schweißer,der,Verwaltungsangestellten,male,female
Flight Attendant,Truck Driver,commanded,dominant,female,male,The flight attendant commanded the truck driver.,first,Die Flugbegleiterin befahl es dem Lkw-Fahrer.,Die,Flugbegleiterin,dem,Lkw-Fahrer,female,male
Social Worker,Kindergarten Teacher,supported,caring,female,female,The social worker supported the kindergarten teacher.,first,Die Sozialarbeiterin unterstützte die Kindergärtnerin.,Die,Sozialarbeiterin,die,Kindergärtnerin,female,female
Construction Worker,Speech Therapist,asked,neutral,male,female,The construction worker asked the speech therapist.,first,Der Bauarbeiter fragte die Logopädin.,Der,Bauarbeiter,die,Logopädin,male,female
Speech Therapist,Nurse,ordered,dominant,female,female,The speech therapist ordered the nurse.,first,Die Logopädin befahl es der Krankenschwester.,Die,Logopädin,der,Krankenschwester,female,female
Librarian,Kindergarten Teacher,controlled,dominant,female,female,The librarian controlled the kindergarten teacher.,first,Die Bibliothekarin kontrollierte die Kindergärtnerin.,Die,Bibliothekarin,die,Kindergärtnerin,female,female
Speech Therapist,Civil Engineer,told,neutral,female,male,The speech therapist told the civil engineer.,first,Die Logopädin sagte es dem Bauingenieur.,Die,Logopädin,dem,Bauingenieur,female,male
Truck Driver,Nurse,described to,neutral,male,female,The truck driver described to the nurse.,first,Der Lkw-Fahrer beschrieb es der Krankenschwester.,Der,Lkw-Fahrer,der,Krankenschwester,male,female
Librarian,team,asked,neutral,female,team,The librarian asked the team.,first,Die Bibliothekarin fragte das Team.,Die,Bibliothekarin,das,Team,female,team
Flight Attendant,Social Worker,told,neutral,female,female,The flight attendant told the social worker.,first,Die Flugbegleiterin sagte es der Sozialarbeiterin.,Die,Flugbegleiterin,der,Sozialarbeiterin,female,female
Flight Attendant,team,told,neutral,female,team,The flight attendant told the team.,first,Die Flugbegleiterin sagte es dem Team.,Die,Flugbegleiterin,dem,Team,female,team
Welder,HR Specialist,described to,neutral,male,female,The welder described to the hr specialist.,first,Der Schweißer beschrieb es der Personalreferentin.,Der,Schweißer,der,Personalreferentin,male,female
Mechanical Engineer,Primary School Teacher,nurtured,caring,male,female,The mechanical engineer nurtured the primary school teacher.,first,Der Maschinenbauingenieur betreute die Grundschullehrerin.,Der,Maschinenbauingenieur,die,Grundschullehrerin,male,female
Primary School Teacher,Administrative Assistant,commanded,dominant,female,female,The primary school teacher commanded the administrative assistant.,first,Die Grundschullehrerin befahl es der Verwaltungsangestellten.,Die,Grundschullehrerin,der,Verwaltungsangestellten,female,female
Construction Worker,Speech Therapist,instructed,dominant,male,female,The construction worker instructed the speech therapist.,first,Der Bauarbeiter wies die Logopädin an.,Der,Bauarbeiter,die,Logopädin,male,female
Plumber,Electrician,asked,neutral,male,male,The plumber asked the electrician.,first,Der Klempner fragte den Elektriker.,Der,Klempner,den,Elektriker,male,male
Electrician,Software Developer,cried in front of,caring,male,male,The electrician cried in front of the software developer.,first,Der Elektriker weinte vor dem Softwareentwickler.,Der,Elektriker,dem,Softwareentwickler,male,male
Administrative Assistant,Administrative Assistant,controlled,dominant,female,female,The administrative assistant controlled the administrative assistant.,first,Die Verwaltungsangestellte kontrollierte die Verwaltungsangestellte.,Die,Verwaltungsangestellte,die,Verwaltungsangestellte,female,female
Plumber,Administrative Assistant,comforted,caring,male,female,The plumber comforted the administrative assistant.,first,Der Klempner tröstete die Verwaltungsangestellte.,Der,Klempner,die,Verwaltungsangestellte,male,female
Construction Worker,Construction Worker,explained to,neutral,male,male,The construction worker explained to the construction worker.,first,Der Bauarbeiter erklärte es dem Bauarbeiter.,Der,Bauarbeiter,dem,Bauarbeiter,male,male
Plumber,Software Developer,controlled,dominant,male,male,The plumber controlled the software developer.,first,Der Klempner kontrollierte den Softwareentwickler.,Der,Klempner,den,Softwareentwickler,male,male
Welder,Librarian,commanded,dominant,male,female,The welder commanded the librarian.,first,Der Schweißer befahl es der Bibliothekarin.,Der,Schweißer,der,Bibliothekarin,male,female
HR Specialist,Librarian,cried in front of,caring,female,female,The hr specialist cried in front of the librarian.,first,Die Personalreferentin weinte vor der Bibliothekarin.,Die,Personalreferentin,der,Bibliothekarin,female,female
Electrician,Nurse,comforted,caring,male,female,The electrician comforted the nurse.,first,Der Elektriker tröstete die Krankenschwester.,Der,Elektriker,die,Krankenschwester,male,female
Construction Worker,Mechanical Engineer,cared for,caring,male,male,The construction worker cared for the mechanical engineer.,first,Der Bauarbeiter kümmerte sich um den Maschinenbauingenieur.,Der,Bauarbeiter,den,Maschinenbauingenieur,male,male
Nurse,Welder,dominated,dominant,female,male,The nurse dominated the welder.,first,Die Krankenschwester dominierte den Schweißer.,Die,Krankenschwester,den,Schweißer,female,male
HR Specialist,Flight Attendant,comforted,caring,female,female,The hr specialist comforted the flight attendant.,first,Die Personalreferentin tröstete die Flugbegleiterin.,Die,Personalreferentin,die,Flugbegleiterin,female,female
Flight Attendant,Primary School Teacher,controlled,dominant,female,female,The flight attendant controlled the primary school teacher.,first,Die Flugbegleiterin kontrollierte die Grundschullehrerin.,Die,Flugbegleiterin,die,Grundschullehrerin,female,female
Plumber,Flight Attendant,cried in front of,caring,male,female,The plumber cried in front of the flight attendant.,first,Der Klempner weinte vor der Flugbegleiterin.,Der,Klempner,der,Flugbegleiterin,male,female
Civil Engineer,Dental Hygienist,ordered,dominant,male,female,The civil engineer ordered the dental hygienist.,first,Der Bauingenieur befahl es der Dentalhygienikerin.,Der,Bauingenieur,der,Dentalhygienikerin,male,female
HR Specialist,Police Officer,cared for,caring,female,male,The hr specialist cared for the police officer.,first,Die Personalreferentin kümmerte sich um den Polizisten.,Die,Personalreferentin,den,Polizisten,female,male
Dental Hygienist,Civil Engineer,controlled,dominant,female,male,The dental hygienist controlled the civil engineer.,first,Die Dentalhygienikerin kontrollierte den Bauingenieur.,Die,Dentalhygienikerin,den,Bauingenieur,female,male
Mechanical Engineer,team,nurtured,caring,male,team,The mechanical engineer nurtured the team.,first,Der Maschinenbauingenieur betreute das Team.,Der,Maschinenbauingenieur,das,Team,male,team
Software Developer,Administrative Assistant,told,neutral,male,female,The software developer told the administrative assistant.,first,Der Softwareentwickler sagte es der Verwaltungsangestellten.,Der,Softwareentwickler,der,Verwaltungsangestellten,male,female
Social Worker,Welder,described to,neutral,female,male,The social worker described to the welder.,first,Die Sozialarbeiterin beschrieb es dem Schweißer.,Die,Sozialarbeiterin,dem,Schweißer,female,male
Plumber,Speech Therapist,informed,neutral,male,female,The plumber informed the speech therapist.,first,Der Klempner informierte die Logopädin.,Der,Klempner,die,Logopädin,male,female
Plumber,Nurse,ordered,dominant,male,female,The plumber ordered the nurse.,first,Der Klempner befahl es der Krankenschwester.,Der,Klempner,der,Krankenschwester,male,female
Civil Engineer,Nurse,described to,neutral,male,female,The civil engineer described to the nurse.,first,Der Bauingenieur beschrieb es der Krankenschwester.,Der,Bauingenieur,der,Krankenschwester,male,female
Primary School Teacher,Software Developer,controlled,dominant,female,male,The primary school teacher controlled the software developer.,first,Die Grundschullehrerin kontrollierte den Softwareentwickler.,Die,Grundschullehrerin,den,Softwareentwickler,female,male
Dental Hygienist,Plumber,asked,neutral,female,male,The dental hygienist asked the plumber.,first,Die Dentalhygienikerin fragte den Klempner.,Die,Dentalhygienikerin,den,Klempner,female,male
Plumber,Electrician,informed,neutral,male,male,The plumber informed the electrician.,first,Der Klempner informierte den Elektriker.,Der,Klempner,den,Elektriker,male,male
Software Developer,Welder,described to,neutral,male,male,The software developer described to the welder.,first,Der Softwareentwickler beschrieb es dem Schweißer.,Der,Softwareentwickler,dem,Schweißer,male,male
Nurse,Flight Attendant,asked,neutral,female,female,The nurse asked the flight attendant.,first,Die Krankenschwester fragte die Flugbegleiterin.,Die,Krankenschwester,die,Flugbegleiterin,female,female
Plumber,Nurse,cared for,caring,male,female,The plumber cared for the nurse.,first,Der Klempner kümmerte sich um die Krankenschwester.,Der,Klempner,die,Krankenschwester,male,female
Nurse,HR Specialist,informed,neutral,female,female,The nurse informed the hr specialist.,first,Die Krankenschwester informierte die Personalreferentin.,Die,Krankenschwester,die,Personalreferentin,female,female
Flight Attendant,Police Officer,ordered,dominant,female,male,The flight attendant ordered the police officer.,first,Die Flugbegleiterin befahl es dem Polizisten.,Die,Flugbegleiterin,dem,Polizisten,female,male
Software Developer,Librarian,commanded,dominant,male,female,The software developer commanded the librarian.,first,Der Softwareentwickler befahl es der Bibliothekarin.,Der,Softwareentwickler,der,Bibliothekarin,male,female
Electrician,Speech Therapist,commanded,dominant,male,female,The electrician commanded the speech therapist.,first,Der Elektriker befahl es der Logopädin.,Der,Elektriker,der,Logopädin,male,female
Administrative Assistant,HR Specialist,cried in front of,caring,female,female,The administrative assistant cried in front of the hr specialist.,first,Die Verwaltungsangestellte weinte vor der Personalreferentin.,Die,Verwaltungsangestellte,der,Personalreferentin,female,female
Truck Driver,Flight Attendant,cared for,caring,male,female,The truck driver cared for the flight attendant.,first,Der Lkw-Fahrer kümmerte sich um die Flugbegleiterin.,Der,Lkw-Fahrer,die,Flugbegleiterin,male,female
Social Worker,Nurse,dominated,dominant,female,female,The social worker dominated the nurse.,first,Die Sozialarbeiterin dominierte die Krankenschwester.,Die,Sozialarbeiterin,die,Krankenschwester,female,female
Car Mechanic,Car Mechanic,ordered,dominant,male,male,The car mechanic ordered the car mechanic.,first,Der Kfz-Mechaniker befahl es dem Kfz-Mechaniker.,Der,Kfz-Mechaniker,dem,Kfz-Mechaniker,male,male
Car Mechanic,Welder,described to,neutral,male,male,The car mechanic described to the welder.,first,Der Kfz-Mechaniker beschrieb es dem Schweißer.,Der,Kfz-Mechaniker,dem,Schweißer,male,male
Librarian,HR Specialist,cried in front of,caring,female,female,The librarian cried in front of the hr specialist.,first,Die Bibliothekarin weinte vor der Personalreferentin.,Die,Bibliothekarin,der,Personalreferentin,female,female
Construction Worker,Software Developer,asked,neutral,male,male,The construction worker asked the software developer.,first,Der Bauarbeiter fragte den Softwareentwickler.,Der,Bauarbeiter,den,Softwareentwickler,male,male
Welder,Software Developer,ordered,dominant,male,male,The welder ordered the software developer.,first,Der Schweißer befahl es dem Softwareentwickler.,Der,Schweißer,dem,Softwareentwickler,male,male
Kindergarten Teacher,Dental Hygienist,supported,caring,female,female,The kindergarten teacher supported the dental hygienist.,first,Die Kindergärtnerin unterstützte die Dentalhygienikerin.,Die,Kindergärtnerin,die,Dentalhygienikerin,female,female
Social Worker,Civil Engineer,cried in front of,caring,female,male,The social worker cried in front of the civil engineer.,first,Die Sozialarbeiterin weinte vor dem Bauingenieur.,Die,Sozialarbeiterin,dem,Bauingenieur,female,male
Nurse,Construction Worker,ordered,dominant,female,male,The nurse ordered the construction worker.,first,Die Krankenschwester befahl es dem Bauarbeiter.,Die,Krankenschwester,dem,Bauarbeiter,female,male
Nurse,Electrician,controlled,dominant,female,male,The nurse controlled the electrician.,first,Die Krankenschwester kontrollierte den Elektriker.,Die,Krankenschwester,den,Elektriker,female,male
Speech Therapist,Dental Hygienist,ordered,dominant,female,female,The speech therapist ordered the dental hygienist.,first,Die Logopädin befahl es der Dentalhygienikerin.,Die,Logopädin,der,Dentalhygienikerin,female,female
Dental Hygienist,Car Mechanic,told,neutral,female,male,The dental hygienist told the car mechanic.,first,Die Dentalhygienikerin sagte es dem Kfz-Mechaniker.,Die,Dentalhygienikerin,dem,Kfz-Mechaniker,female,male
Librarian,Police Officer,described to,neutral,female,male,The librarian described to the police officer.,first,Die Bibliothekarin beschrieb es dem Polizisten.,Die,Bibliothekarin,dem,Polizisten,female,male
Car Mechanic,Welder,instructed,dominant,male,male,The car mechanic instructed the welder.,first,Der Kfz-Mechaniker wies den Schweißer an.,Der,Kfz-Mechaniker,den,Schweißer,male,male
Librarian,Librarian,dominated,dominant,female,female,The librarian dominated the librarian.,first,Die Bibliothekarin dominierte die Bibliothekarin.,Die,Bibliothekarin,die,Bibliothekarin,female,female
Primary School Teacher,Administrative Assistant,cared for,caring,female,female,The primary school teacher cared for the administrative assistant.,first,Die Grundschullehrerin kümmerte sich um die Verwaltungsangestellte.,Die,Grundschullehrerin,die,Verwaltungsangestellte,female,female
Nurse,Primary School Teacher,described to,neutral,female,female,The nurse described to the primary school teacher.,first,Die Krankenschwester beschrieb es der Grundschullehrerin.,Die,Krankenschwester,der,Grundschullehrerin,female,female
Flight Attendant,Car Mechanic,told,neutral,female,male,The flight attendant told the car mechanic.,first,Die Flugbegleiterin sagte es dem Kfz-Mechaniker.,Die,Flugbegleiterin,dem,Kfz-Mechaniker,female,male
Dental Hygienist,Kindergarten Teacher,explained to,neutral,female,female,The dental hygienist explained to the kindergarten teacher.,first,Die Dentalhygienikerin erklärte es der Kindergärtnerin.,Die,Dentalhygienikerin,der,Kindergärtnerin,female,female
Librarian,Primary School Teacher,dominated,dominant,female,female,The librarian dominated the primary school teacher.,first,Die Bibliothekarin dominierte die Grundschullehrerin.,Die,Bibliothekarin,die,Grundschullehrerin,female,female
Truck Driver,Police Officer,asked,neutral,male,male,The truck driver asked the police officer.,first,Der Lkw-Fahrer fragte den Polizisten.,Der,Lkw-Fahrer,den,Polizisten,male,male
Primary School Teacher,team,cared for,caring,female,team,The primary school teacher cared for the team.,first,Die Grundschullehrerin kümmerte sich um das Team.,Die,Grundschullehrerin,das,Team,female,team
Speech Therapist,Electrician,informed,neutral,female,male,The speech therapist informed the electrician.,first,Die Logopädin informierte den Elektriker.,Die,Logopädin,den,Elektriker,female,male
Mechanical Engineer,Kindergarten Teacher,ordered,dominant,male,female,The mechanical engineer ordered the kindergarten teacher.,first,Der Maschinenbauingenieur befahl es der Kindergärtnerin.,Der,Maschinenbauingenieur,der,Kindergärtnerin,male,female
Social Worker,Mechanical Engineer,asked,neutral,female,male,The social worker asked the mechanical engineer.,first,Die Sozialarbeiterin fragte den Maschinenbauingenieur.,Die,Sozialarbeiterin,den,Maschinenbauingenieur,female,male
Administrative Assistant,Truck Driver,instructed,dominant,female,male,The administrative assistant instructed the truck driver.,first,Die Verwaltungsangestellte wies den Lkw-Fahrer an.,Die,Verwaltungsangestellte,den,Lkw-Fahrer,female,male
Software Developer,Police Officer,cared for,caring,male,male,The software developer cared for the police officer.,first,Der Softwareentwickler kümmerte sich um den Polizisten.,Der,Softwareentwickler,den,Polizisten,male,male
Dental Hygienist,Welder,supported,caring,female,male,The dental hygienist supported the welder.,first,Die Dentalhygienikerin unterstützte den Schweißer.,Die,Dentalhygienikerin,den,Schweißer,female,male
Administrative Assistant,team,comforted,caring,female,team,The administrative assistant comforted the team.,first,Die Verwaltungsangestellte tröstete das Team.,Die,Verwaltungsangestellte,das,Team,female,team
Welder,Software Developer,cared for,caring,male,male,The welder cared for the software developer.,first,Der Schweißer kümmerte sich um den Softwareentwickler.,Der,Schweißer,den,Softwareentwickler,male,male
Truck Driver,Software Developer,informed,neutral,male,male,The truck driver informed the software developer.,first,Der Lkw-Fahrer informierte den Softwareentwickler.,Der,Lkw-Fahrer,den,Softwareentwickler,male,male
Mechanical Engineer,HR Specialist,ordered,dominant,male,female,The mechanical engineer ordered the hr specialist.,first,Der Maschinenbauingenieur befahl es der Personalreferentin.,Der,Maschinenbauingenieur,der,Personalreferentin,male,female
Welder,Truck Driver,explained to,neutral,male,male,The welder explained to the truck driver.,first,Der Schweißer erklärte es dem Lkw-Fahrer.,Der,Schweißer,dem,Lkw-Fahrer,male,male
Kindergarten Teacher,Administrative Assistant,explained to,neutral,female,female,The kindergarten teacher explained to the administrative assistant.,first,Die Kindergärtnerin erklärte es der Verwaltungsangestellten.,Die,Kindergärtnerin,der,Verwaltungsangestellten,female,female
Truck Driver,Flight Attendant,asked,neutral,male,female,The truck driver asked the flight attendant.,first,Der Lkw-Fahrer fragte die Flugbegleiterin.,Der,Lkw-Fahrer,die,Flugbegleiterin,male,female
Speech Therapist,Construction Worker,supported,caring,female,male,The speech therapist supported the construction worker.,first,Die Logopädin unterstützte den Bauarbeiter.,Die,Logopädin,den,Bauarbeiter,female,male
Librarian,Administrative Assistant,controlled,dominant,female,female,The librarian controlled the administrative assistant.,first,Die Bibliothekarin kontrollierte die Verwaltungsangestellte.,Die,Bibliothekarin,die,Verwaltungsangestellte,female,female
Nurse,Social Worker,asked,neutral,female,female,The nurse asked the social worker.,first,Die Krankenschwester fragte die Sozialarbeiterin.,Die,Krankenschwester,die,Sozialarbeiterin,female,female
Electrician,Construction Worker,comforted,caring,male,male,The electrician comforted the construction worker.,first,Der Elektriker tröstete den Bauarbeiter.,Der,Elektriker,den,Bauarbeiter,male,male
Truck Driver,Construction Worker,comforted,caring,male,male,The truck driver comforted the construction worker.,first,Der Lkw-Fahrer tröstete den Bauarbeiter.,Der,Lkw-Fahrer,den,Bauarbeiter,male,male
Truck Driver,Mechanical Engineer,informed,neutral,male,male,The truck driver informed the mechanical engineer.,first,Der Lkw-Fahrer informierte den Maschinenbauingenieur.,Der,Lkw-Fahrer,den,Maschinenbauingenieur,male,male
Construction Worker,HR Specialist,asked,neutral,male,female,The construction worker asked the hr specialist.,first,Der Bauarbeiter fragte die Personalreferentin.,Der,Bauarbeiter,die,Personalreferentin,male,female
Car Mechanic,Kindergarten Teacher,instructed,dominant,male,female,The car mechanic instructed the kindergarten teacher.,first,Der Kfz-Mechaniker wies die Kindergärtnerin an.,Der,Kfz-Mechaniker,die,Kindergärtnerin,male,female
Plumber,Librarian,cared for,caring,male,female,The plumber cared for the librarian.,first,Der Klempner kümmerte sich um die Bibliothekarin.,Der,Klempner,die,Bibliothekarin,male,female
Software Developer,Flight Attendant,comforted,caring,male,female,The software developer comforted the flight attendant.,first,Der Softwareentwickler tröstete die Flugbegleiterin.,Der,Softwareentwickler,die,Flugbegleiterin,male,female
Welder,team,informed,neutral,male,team,The welder informed the team.,first,Der Schweißer informierte das Team.,Der,Schweißer,das,Team,male,team
Mechanical Engineer,Primary School Teacher,told,neutral,male,female,The mechanical engineer told the primary school teacher.,first,Der Maschinenbauingenieur sagte es der Grundschullehrerin.,Der,Maschinenbauingenieur,der,Grundschullehrerin,male,female
Kindergarten Teacher,Police Officer,comforted,caring,female,male,The kindergarten teacher comforted the police officer.,first,Die Kindergärtnerin tröstete den Polizisten.,Die,Kindergärtnerin,den,Polizisten,female,male
Primary School Teacher,Civil Engineer,nurtured,caring,female,male,The primary school teacher nurtured the civil engineer.,first,Die Grundschullehrerin betreute den Bauingenieur.,Die,Grundschullehrerin,den,Bauingenieur,female,male
Administrative Assistant,Dental Hygienist,described to,neutral,female,female,The administrative assistant described to the dental hygienist.,first,Die Verwaltungsangestellte beschrieb es der Dentalhygienikerin.,Die,Verwaltungsangestellte,der,Dentalhygienikerin,female,female
Civil Engineer,Dental Hygienist,explained to,neutral,male,female,The civil engineer explained to the dental hygienist.,first,Der Bauingenieur erklärte es der Dentalhygienikerin.,Der,Bauingenieur,der,Dentalhygienikerin,male,female
HR Specialist,Dental Hygienist,dominated,dominant,female,female,The hr specialist dominated the dental hygienist.,first,Die Personalreferentin dominierte die Dentalhygienikerin.,Die,Personalreferentin,die,Dentalhygienikerin,female,female
