job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position
Primary School Teacher,Librarian,ordered,dominant,female,female,The primary school teacher ordered the librarian.,first
Software Developer,Social Worker,explained to,neutral,male,female,The software developer explained to the social worker.,first
Mechanical Engineer,Administrative Assistant,informed,neutral,male,female,The mechanical engineer informed the administrative assistant.,first
Civil Engineer,Dental Hygienist,ordered,dominant,male,female,The civil engineer ordered the dental hygienist.,first
Plumber,Librarian,nurtured,caring,male,female,The plumber nurtured the librarian.,first
Social Worker,Software Developer,nurtured,caring,female,male,The social worker nurtured the software developer.,first
HR Specialist,Software Developer,commanded,dominant,female,male,The hr specialist commanded the software developer.,first
Truck Driver,Police Officer,comforted,caring,male,male,The truck driver comforted the police officer.,first
Speech Therapist,Primary School Teacher,cared for,caring,female,female,The speech therapist cared for the primary school teacher.,first
Software Developer,Social Worker,nurtured,caring,male,female,The software developer nurtured the social worker.,first
Construction Worker,Mechanical Engineer,told,neutral,male,male,The construction worker told the mechanical engineer.,first
Welder,Librarian,cared for,caring,male,female,The welder cared for the librarian.,first
Mechanical Engineer,Truck Driver,commanded,dominant,male,male,The mechanical engineer commanded the truck driver.,first
Administrative Assistant,team,instructed,dominant,female,team,The administrative assistant instructed the team.,first
Dental Hygienist,Welder,dominated,dominant,female,male,The dental hygienist dominated the welder.,first
Social Worker,HR Specialist,asked,neutral,female,female,The social worker asked the hr specialist.,first
Flight Attendant,Social Worker,nurtured,caring,female,female,The flight attendant nurtured the social worker.,first
Speech Therapist,Social Worker,explained to,neutral,female,female,The speech therapist explained to the social worker.,first
Plumber,Flight Attendant,comforted,caring,male,female,The plumber comforted the flight attendant.,first
Dental Hygienist,Primary School Teacher,ordered,dominant,female,female,The dental hygienist ordered the primary school teacher.,first
Dental Hygienist,Police Officer,dominated,dominant,female,male,The dental hygienist dominated the police officer.,first
Primary School Teacher,Librarian,asked,neutral,female,female,The primary school teacher asked the librarian.,first
Librarian,Welder,informed,neutral,female,male,The librarian informed the welder.,first
Speech Therapist,Civil Engineer,asked,neutral,female,male,The speech therapist asked the civil engineer.,first
Flight Attendant,HR Specialist,explained to,neutral,female,female,The flight attendant explained to the hr specialist.,first
Primary School Teacher,Police Officer,cried in front of,caring,female,male,The primary school teacher cried in front of the police officer.,first
Electrician,Librarian,asked,neutral,male,female,The electrician asked the librarian.,first
Administrative Assistant,Primary School Teacher,asked,neutral,female,female,The administrative assistant asked the primary school teacher.,first
Car Mechanic,Dental Hygienist,asked,neutral,male,female,The car mechanic asked the dental hygienist.,first
Welder,Civil Engineer,informed,neutral,male,male,The welder informed the civil engineer.,first
Electrician,Flight Attendant,cared for,caring,male,female,The electrician cared for the flight attendant.,first
Software Developer,Librarian,asked,neutral,male,female,The software developer asked the librarian.,first
Plumber,Mechanical Engineer,cried in front of,caring,male,male,The plumber cried in front of the mechanical engineer.,first
Plumber,Electrician,informed,neutral,male,male,The plumber informed the electrician.,first
Speech Therapist,Social Worker,comforted,caring,female,female,The speech therapist comforted the social worker.,first
Truck Driver,Truck Driver,explained to,neutral,male,male,The truck driver explained to the truck driver.,first
HR Specialist,Welder,controlled,dominant,female,male,The hr specialist controlled the welder.,first
HR Specialist,Truck Driver,supported,caring,female,male,The hr specialist supported the truck driver.,first
Civil Engineer,Administrative Assistant,asked,neutral,male,female,The civil engineer asked the administrative assistant.,first
Truck Driver,Nurse,dominated,dominant,male,female,The truck driver dominated the nurse.,first
Construction Worker,Kindergarten Teacher,comforted,caring,male,female,The construction worker comforted the kindergarten teacher.,first
Car Mechanic,Mechanical Engineer,comforted,caring,male,male,The car mechanic comforted the mechanical engineer.,first
HR Specialist,Administrative Assistant,ordered,dominant,female,female,The hr specialist ordered the administrative assistant.,first
Construction Worker,Police Officer,described to,neutral,male,male,The construction worker described to the police officer.,first
Nurse,Nurse,cried in front of,caring,female,female,The nurse cried in front of the nurse.,first
Truck Driver,Librarian,dominated,dominant,male,female,The truck driver dominated the librarian.,first
Speech Therapist,Speech Therapist,asked,neutral,female,female,The speech therapist asked the speech therapist.,first
Nurse,Truck Driver,comforted,caring,female,male,The nurse comforted the truck driver.,first
Mechanical Engineer,Kindergarten Teacher,informed,neutral,male,female,The mechanical engineer informed the kindergarten teacher.,first
Car Mechanic,Civil Engineer,dominated,dominant,male,male,The car mechanic dominated the civil engineer.,first
Primary School Teacher,Mechanical Engineer,dominated,dominant,female,male,The primary school teacher dominated the mechanical engineer.,first
Dental Hygienist,Librarian,described to,neutral,female,female,The dental hygienist described to the librarian.,first
Speech Therapist,Police Officer,explained to,neutral,female,male,The speech therapist explained to the police officer.,first
Kindergarten Teacher,Nurse,explained to,neutral,female,female,The kindergarten teacher explained to the nurse.,first
Librarian,Police Officer,asked,neutral,female,male,The librarian asked the police officer.,first
Software Developer,Electrician,supported,caring,male,male,The software developer supported the electrician.,first
Civil Engineer,Car Mechanic,nurtured,caring,male,male,The civil engineer nurtured the car mechanic.,first
Welder,Flight Attendant,dominated,dominant,male,female,The welder dominated the flight attendant.,first
Speech Therapist,Primary School Teacher,supported,caring,female,female,The speech therapist supported the primary school teacher.,first
Civil Engineer,Plumber,asked,neutral,male,male,The civil engineer asked the plumber.,first
Car Mechanic,Administrative Assistant,controlled,dominant,male,female,The car mechanic controlled the administrative assistant.,first
Administrative Assistant,Flight Attendant,dominated,dominant,female,female,The administrative assistant dominated the flight attendant.,first
Dental Hygienist,HR Specialist,cried in front of,caring,female,female,The dental hygienist cried in front of the hr specialist.,first
Civil Engineer,HR Specialist,instructed,dominant,male,female,The civil engineer instructed the hr specialist.,first
Nurse,Librarian,controlled,dominant,female,female,The nurse controlled the librarian.,first
Flight Attendant,Welder,asked,neutral,female,male,The flight attendant asked the welder.,first
Dental Hygienist,team,nurtured,caring,female,team,The dental hygienist nurtured the team.,first
Software Developer,Plumber,nurtured,caring,male,male,The software developer nurtured the plumber.,first
Dental Hygienist,Flight Attendant,explained to,neutral,female,female,The dental hygienist explained to the flight attendant.,first
Kindergarten Teacher,Welder,cared for,caring,female,male,The kindergarten teacher cared for the welder.,first
Construction Worker,Primary School Teacher,nurtured,caring,male,female,The construction worker nurtured the primary school teacher.,first
Nurse,Speech Therapist,cared for,caring,female,female,The nurse cared for the speech therapist.,first
Software Developer,Nurse,dominated,dominant,male,female,The software developer dominated the nurse.,first
HR Specialist,Car Mechanic,asked,neutral,female,male,The hr specialist asked the car mechanic.,first
Administrative Assistant,Flight Attendant,cared for,caring,female,female,The administrative assistant cared for the flight attendant.,first
Plumber,Electrician,cried in front of,caring,male,male,The plumber cried in front of the electrician.,first
Truck Driver,Kindergarten Teacher,ordered,dominant,male,female,The truck driver ordered the kindergarten teacher.,first
Software Developer,Dental Hygienist,described to,neutral,male,female,The software developer described to the dental hygienist.,first
Police Officer,Social Worker,informed,neutral,male,female,The police officer informed the social worker.,first
Kindergarten Teacher,Kindergarten Teacher,informed,neutral,female,female,The kindergarten teacher informed the kindergarten teacher.,first
Librarian,Librarian,instructed,dominant,female,female,The librarian instructed the librarian.,first
Kindergarten Teacher,Nurse,nurtured,caring,female,female,The kindergarten teacher nurtured the nurse.,first
Social Worker,Software Developer,supported,caring,female,male,The social worker supported the software developer.,first
Software Developer,Speech Therapist,asked,neutral,male,female,The software developer asked the speech therapist.,first
Speech Therapist,Dental Hygienist,asked,neutral,female,female,The speech therapist asked the dental hygienist.,first
Software Developer,HR Specialist,described to,neutral,male,female,The software developer described to the hr specialist.,first
Welder,Truck Driver,instructed,dominant,male,male,The welder instructed the truck driver.,first
Car Mechanic,Civil Engineer,described to,neutral,male,male,The car mechanic described to the civil engineer.,first
HR Specialist,Car Mechanic,informed,neutral,female,male,The hr specialist informed the car mechanic.,first
Flight Attendant,Mechanical Engineer,explained to,neutral,female,male,The flight attendant explained to the mechanical engineer.,first
Police Officer,Welder,comforted,caring,male,male,The police officer comforted the welder.,first
Librarian,Software Developer,informed,neutral,female,male,The librarian informed the software developer.,first
Social Worker,HR Specialist,described to,neutral,female,female,The social worker described to the hr specialist.,first
Police Officer,Mechanical Engineer,supported,caring,male,male,The police officer supported the mechanical engineer.,first
Nurse,Software Developer,comforted,caring,female,male,The nurse comforted the software developer.,first
Car Mechanic,Construction Worker,controlled,dominant,male,male,The car mechanic controlled the construction worker.,first
Car Mechanic,Speech Therapist,controlled,dominant,male,female,The car mechanic controlled the speech therapist.,first
Social Worker,Mechanical Engineer,nurtured,caring,female,male,The social worker nurtured the mechanical engineer.,first
Nurse,Administrative Assistant,described to,neutral,female,female,The nurse described to the administrative assistant.,first
Welder,Plumber,ordered,dominant,male,male,The welder ordered the plumber.,first
Librarian,Civil Engineer,controlled,dominant,female,male,The librarian controlled the civil engineer.,first
Primary School Teacher,Truck Driver,supported,caring,female,male,The primary school teacher supported the truck driver.,first
Car Mechanic,Librarian,comforted,caring,male,female,The car mechanic comforted the librarian.,first
Civil Engineer,Truck Driver,comforted,caring,male,male,The civil engineer comforted the truck driver.,first
Electrician,Plumber,controlled,dominant,male,male,The electrician controlled the plumber.,first
Software Developer,Kindergarten Teacher,controlled,dominant,male,female,The software developer controlled the kindergarten teacher.,first
Flight Attendant,Nurse,ordered,dominant,female,female,The flight attendant ordered the nurse.,first
Mechanical Engineer,Nurse,explained to,neutral,male,female,The mechanical engineer explained to the nurse.,first
Nurse,Administrative Assistant,comforted,caring,female,female,The nurse comforted the administrative assistant.,first
Police Officer,Car Mechanic,informed,neutral,male,male,The police officer informed the car mechanic.,first
Flight Attendant,Plumber,explained to,neutral,female,male,The flight attendant explained to the plumber.,first
Administrative Assistant,Truck Driver,ordered,dominant,female,male,The administrative assistant ordered the truck driver.,first
Police Officer,Kindergarten Teacher,described to,neutral,male,female,The police officer described to the kindergarten teacher.,first
Plumber,Mechanical Engineer,supported,caring,male,male,The plumber supported the mechanical engineer.,first
Librarian,Mechanical Engineer,informed,neutral,female,male,The librarian informed the mechanical engineer.,first
HR Specialist,Nurse,instructed,dominant,female,female,The hr specialist instructed the nurse.,first
Dental Hygienist,Flight Attendant,supported,caring,female,female,The dental hygienist supported the flight attendant.,first
Plumber,Dental Hygienist,supported,caring,male,female,The plumber supported the dental hygienist.,first
Car Mechanic,Primary School Teacher,comforted,caring,male,female,The car mechanic comforted the primary school teacher.,first
Welder,Librarian,commanded,dominant,male,female,The welder commanded the librarian.,first
HR Specialist,HR Specialist,ordered,dominant,female,female,The hr specialist ordered the hr specialist.,first
Administrative Assistant,Flight Attendant,described to,neutral,female,female,The administrative assistant described to the flight attendant.,first
Civil Engineer,Civil Engineer,informed,neutral,male,male,The civil engineer informed the civil engineer.,first
Nurse,Software Developer,asked,neutral,female,male,The nurse asked the software developer.,first
Police Officer,Truck Driver,nurtured,caring,male,male,The police officer nurtured the truck driver.,first
Primary School Teacher,Construction Worker,asked,neutral,female,male,The primary school teacher asked the construction worker.,first
Kindergarten Teacher,Administrative Assistant,dominated,dominant,female,female,The kindergarten teacher dominated the administrative assistant.,first
Social Worker,Truck Driver,described to,neutral,female,male,The social worker described to the truck driver.,first
HR Specialist,Car Mechanic,cared for,caring,female,male,The hr specialist cared for the car mechanic.,first
Mechanical Engineer,Electrician,cared for,caring,male,male,The mechanical engineer cared for the electrician.,first
Car Mechanic,Police Officer,told,neutral,male,male,The car mechanic told the police officer.,first
Electrician,Civil Engineer,ordered,dominant,male,male,The electrician ordered the civil engineer.,first
Primary School Teacher,Flight Attendant,ordered,dominant,female,female,The primary school teacher ordered the flight attendant.,first
Administrative Assistant,Kindergarten Teacher,asked,neutral,female,female,The administrative assistant asked the kindergarten teacher.,first
Speech Therapist,Welder,explained to,neutral,female,male,The speech therapist explained to the welder.,first
Nurse,Nurse,described to,neutral,female,female,The nurse described to the nurse.,first
Dental Hygienist,HR Specialist,commanded,dominant,female,female,The dental hygienist commanded the hr specialist.,first
Kindergarten Teacher,Electrician,instructed,dominant,female,male,The kindergarten teacher instructed the electrician.,first
Kindergarten Teacher,Plumber,cried in front of,caring,female,male,The kindergarten teacher cried in front of the plumber.,first
Administrative Assistant,Civil Engineer,dominated,dominant,female,male,The administrative assistant dominated the civil engineer.,first
Electrician,Primary School Teacher,asked,neutral,male,female,The electrician asked the primary school teacher.,first
Truck Driver,Welder,asked,neutral,male,male,The truck driver asked the welder.,first
Speech Therapist,Mechanical Engineer,comforted,caring,female,male,The speech therapist comforted the mechanical engineer.,first
Mechanical Engineer,Primary School Teacher,cared for,caring,male,female,The mechanical engineer cared for the primary school teacher.,first
Civil Engineer,Administrative Assistant,explained to,neutral,male,female,The civil engineer explained to the administrative assistant.,first
Software Developer,Police Officer,ordered,dominant,male,male,The software developer ordered the police officer.,first
Software Developer,Kindergarten Teacher,supported,caring,male,female,The software developer supported the kindergarten teacher.,first
Mechanical Engineer,Speech Therapist,told,neutral,male,female,The mechanical engineer told the speech therapist.,first
Nurse,Administrative Assistant,cared for,caring,female,female,The nurse cared for the administrative assistant.,first
Truck Driver,Truck Driver,told,neutral,male,male,The truck driver told the truck driver.,first
Welder,Mechanical Engineer,instructed,dominant,male,male,The welder instructed the mechanical engineer.,first
Librarian,Software Developer,cried in front of,caring,female,male,The librarian cried in front of the software developer.,first
Administrative Assistant,Kindergarten Teacher,controlled,dominant,female,female,The administrative assistant controlled the kindergarten teacher.,first
Electrician,Social Worker,cried in front of,caring,male,female,The electrician cried in front of the social worker.,first
Plumber,Construction Worker,supported,caring,male,male,The plumber supported the construction worker.,first
Plumber,Flight Attendant,cared for,caring,male,female,The plumber cared for the flight attendant.,first
Primary School Teacher,Administrative Assistant,controlled,dominant,female,female,The primary school teacher controlled the administrative assistant.,first
Plumber,Civil Engineer,asked,neutral,male,male,The plumber asked the civil engineer.,first
Mechanical Engineer,Software Developer,told,neutral,male,male,The mechanical engineer told the software developer.,first
Truck Driver,Construction Worker,controlled,dominant,male,male,The truck driver controlled the construction worker.,first
Software Developer,Plumber,supported,caring,male,male,The software developer supported the plumber.,first
Mechanical Engineer,Primary School Teacher,controlled,dominant,male,female,The mechanical engineer controlled the primary school teacher.,first
Flight Attendant,Civil Engineer,comforted,caring,female,male,The flight attendant comforted the civil engineer.,first
Dental Hygienist,Civil Engineer,ordered,dominant,female,male,The dental hygienist ordered the civil engineer.,first
Software Developer,Primary School Teacher,commanded,dominant,male,female,The software developer commanded the primary school teacher.,first
Mechanical Engineer,Primary School Teacher,commanded,dominant,male,female,The mechanical engineer commanded the primary school teacher.,first
Speech Therapist,Mechanical Engineer,cared for,caring,female,male,The speech therapist cared for the mechanical engineer.,first
Electrician,Civil Engineer,comforted,caring,male,male,The electrician comforted the civil engineer.,first
Truck Driver,Librarian,nurtured,caring,male,female,The truck driver nurtured the librarian.,first
Kindergarten Teacher,Truck Driver,comforted,caring,female,male,The kindergarten teacher comforted the truck driver.,first
Nurse,Administrative Assistant,cried in front of,caring,female,female,The nurse cried in front of the administrative assistant.,first
Speech Therapist,Car Mechanic,nurtured,caring,female,male,The speech therapist nurtured the car mechanic.,first
Administrative Assistant,Nurse,ordered,dominant,female,female,The administrative assistant ordered the nurse.,first
Speech Therapist,team,cared for,caring,female,team,The speech therapist cared for the team.,first
Librarian,Civil Engineer,nurtured,caring,female,male,The librarian nurtured the civil engineer.,first
HR Specialist,Mechanical Engineer,cared for,caring,female,male,The hr specialist cared for the mechanical engineer.,first
Police Officer,Librarian,informed,neutral,male,female,The police officer informed the librarian.,first
Social Worker,Primary School Teacher,told,neutral,female,female,The social worker told the primary school teacher.,first
Dental Hygienist,Car Mechanic,described to,neutral,female,male,The dental hygienist described to the car mechanic.,first
Speech Therapist,Speech Therapist,cared for,caring,female,female,The speech therapist cared for the speech therapist.,first
Construction Worker,Kindergarten Teacher,controlled,dominant,male,female,The construction worker controlled the kindergarten teacher.,first
Software Developer,Police Officer,explained to,neutral,male,male,The software developer explained to the police officer.,first
Social Worker,Nurse,informed,neutral,female,female,The social worker informed the nurse.,first
Electrician,Primary School Teacher,comforted,caring,male,female,The electrician comforted the primary school teacher.,first
Police Officer,Nurse,controlled,dominant,male,female,The police officer controlled the nurse.,first
Car Mechanic,Mechanical Engineer,ordered,dominant,male,male,The car mechanic ordered the mechanical engineer.,first
Mechanical Engineer,Welder,told,neutral,male,male,The mechanical engineer told the welder.,first
Police Officer,Police Officer,told,neutral,male,male,The police officer told the police officer.,first
Primary School Teacher,Truck Driver,nurtured,caring,female,male,The primary school teacher nurtured the truck driver.,first
Software Developer,Construction Worker,told,neutral,male,male,The software developer told the construction worker.,first
Civil Engineer,Car Mechanic,supported,caring,male,male,The civil engineer supported the car mechanic.,first
Nurse,Civil Engineer,told,neutral,female,male,The nurse told the civil engineer.,first
Nurse,Nurse,controlled,dominant,female,female,The nurse controlled the nurse.,first
HR Specialist,Plumber,commanded,dominant,female,male,The hr specialist commanded the plumber.,first
Mechanical Engineer,team,commanded,dominant,male,team,The mechanical engineer commanded the team.,first
HR Specialist,Kindergarten Teacher,informed,neutral,female,female,The hr specialist informed the kindergarten teacher.,first
Social Worker,Social Worker,dominated,dominant,female,female,The social worker dominated the social worker.,first
Kindergarten Teacher,Nurse,instructed,dominant,female,female,The kindergarten teacher instructed the nurse.,first
Speech Therapist,team,dominated,dominant,female,team,The speech therapist dominated the team.,first
Kindergarten Teacher,Social Worker,ordered,dominant,female,female,The kindergarten teacher ordered the social worker.,first
Civil Engineer,Speech Therapist,cried in front of,caring,male,female,The civil engineer cried in front of the speech therapist.,first
Plumber,Dental Hygienist,ordered,dominant,male,female,The plumber ordered the dental hygienist.,first
Civil Engineer,Administrative Assistant,nurtured,caring,male,female,The civil engineer nurtured the administrative assistant.,first
Civil Engineer,Nurse,controlled,dominant,male,female,The civil engineer controlled the nurse.,first
Kindergarten Teacher,Flight Attendant,nurtured,caring,female,female,The kindergarten teacher nurtured the flight attendant.,first
Kindergarten Teacher,HR Specialist,supported,caring,female,female,The kindergarten teacher supported the hr specialist.,first
Social Worker,Speech Therapist,described to,neutral,female,female,The social worker described to the speech therapist.,first
Construction Worker,Kindergarten Teacher,cared for,caring,male,female,The construction worker cared for the kindergarten teacher.,first
HR Specialist,Speech Therapist,explained to,neutral,female,female,The hr specialist explained to the speech therapist.,first
Police Officer,Speech Therapist,instructed,dominant,male,female,The police officer instructed the speech therapist.,first
Truck Driver,Mechanical Engineer,told,neutral,male,male,The truck driver told the mechanical engineer.,first
Civil Engineer,Plumber,informed,neutral,male,male,The civil engineer informed the plumber.,first
Car Mechanic,Kindergarten Teacher,told,neutral,male,female,The car mechanic told the kindergarten teacher.,first
Software Developer,Librarian,informed,neutral,male,female,The software developer informed the librarian.,first
Mechanical Engineer,Software Developer,explained to,neutral,male,male,The mechanical engineer explained to the software developer.,first
Civil Engineer,Software Developer,asked,neutral,male,male,The civil engineer asked the software developer.,first
Kindergarten Teacher,Mechanical Engineer,explained to,neutral,female,male,The kindergarten teacher explained to the mechanical engineer.,first
Primary School Teacher,Flight Attendant,instructed,dominant,female,female,The primary school teacher instructed the flight attendant.,first
Car Mechanic,Mechanical Engineer,controlled,dominant,male,male,The car mechanic controlled the mechanical engineer.,first
Truck Driver,Librarian,instructed,dominant,male,female,The truck driver instructed the librarian.,first
Electrician,team,nurtured,caring,male,team,The electrician nurtured the team.,first
Mechanical Engineer,Kindergarten Teacher,controlled,dominant,male,female,The mechanical engineer controlled the kindergarten teacher.,first
Construction Worker,Car Mechanic,supported,caring,male,male,The construction worker supported the car mechanic.,first
Speech Therapist,Welder,informed,neutral,female,male,The speech therapist informed the welder.,first
Software Developer,Software Developer,instructed,dominant,male,male,The software developer instructed the software developer.,first
Administrative Assistant,Welder,ordered,dominant,female,male,The administrative assistant ordered the welder.,first
Kindergarten Teacher,HR Specialist,dominated,dominant,female,female,The kindergarten teacher dominated the hr specialist.,first
Social Worker,Kindergarten Teacher,supported,caring,female,female,The social worker supported the kindergarten teacher.,first
Kindergarten Teacher,Construction Worker,asked,neutral,female,male,The kindergarten teacher asked the construction worker.,first
Dental Hygienist,Welder,cared for,caring,female,male,The dental hygienist cared for the welder.,first
HR Specialist,Primary School Teacher,comforted,caring,female,female,The hr specialist comforted the primary school teacher.,first
Welder,Dental Hygienist,asked,neutral,male,female,The welder asked the dental hygienist.,first
Truck Driver,Software Developer,explained to,neutral,male,male,The truck driver explained to the software developer.,first
Flight Attendant,Librarian,asked,neutral,female,female,The flight attendant asked the librarian.,first
Construction Worker,Car Mechanic,informed,neutral,male,male,The construction worker informed the car mechanic.,first
Software Developer,Administrative Assistant,informed,neutral,male,female,The software developer informed the administrative assistant.,first
Car Mechanic,Administrative Assistant,explained to,neutral,male,female,The car mechanic explained to the administrative assistant.,first
Welder,Flight Attendant,explained to,neutral,male,female,The welder explained to the flight attendant.,first
Nurse,Software Developer,cried in front of,caring,female,male,The nurse cried in front of the software developer.,first
Nurse,team,informed,neutral,female,team,The nurse informed the team.,first
Administrative Assistant,Electrician,nurtured,caring,female,male,The administrative assistant nurtured the electrician.,first
Flight Attendant,Welder,described to,neutral,female,male,The flight attendant described to the welder.,first
Social Worker,Police Officer,dominated,dominant,female,male,The social worker dominated the police officer.,first
Nurse,Administrative Assistant,asked,neutral,female,female,The nurse asked the administrative assistant.,first
Car Mechanic,Dental Hygienist,described to,neutral,male,female,The car mechanic described to the dental hygienist.,first
Nurse,Police Officer,supported,caring,female,male,The nurse supported the police officer.,first
Car Mechanic,Primary School Teacher,asked,neutral,male,female,The car mechanic asked the primary school teacher.,first
Speech Therapist,Electrician,nurtured,caring,female,male,The speech therapist nurtured the electrician.,first
Civil Engineer,Plumber,cared for,caring,male,male,The civil engineer cared for the plumber.,first
HR Specialist,Librarian,cried in front of,caring,female,female,The hr specialist cried in front of the librarian.,first
Mechanical Engineer,Kindergarten Teacher,supported,caring,male,female,The mechanical engineer supported the kindergarten teacher.,first
Dental Hygienist,Dental Hygienist,explained to,neutral,female,female,The dental hygienist explained to the dental hygienist.,first
Software Developer,Social Worker,cared for,caring,male,female,The software developer cared for the social worker.,first
Civil Engineer,Social Worker,controlled,dominant,male,female,The civil engineer controlled the social worker.,first
Truck Driver,Nurse,cared for,caring,male,female,The truck driver cared for the nurse.,first
Speech Therapist,HR Specialist,commanded,dominant,female,female,The speech therapist commanded the hr specialist.,first
Plumber,Construction Worker,cried in front of,caring,male,male,The plumber cried in front of the construction worker.,first
Software Developer,Librarian,dominated,dominant,male,female,The software developer dominated the librarian.,first
Software Developer,Librarian,nurtured,caring,male,female,The software developer nurtured the librarian.,first
Administrative Assistant,Librarian,comforted,caring,female,female,The administrative assistant comforted the librarian.,first
Kindergarten Teacher,Nurse,dominated,dominant,female,female,The kindergarten teacher dominated the nurse.,first
Dental Hygienist,Nurse,supported,caring,female,female,The dental hygienist supported the nurse.,first
Administrative Assistant,Nurse,informed,neutral,female,female,The administrative assistant informed the nurse.,first
Truck Driver,Nurse,told,neutral,male,female,The truck driver told the nurse.,first
Administrative Assistant,Kindergarten Teacher,described to,neutral,female,female,The administrative assistant described to the kindergarten teacher.,first
Flight Attendant,team,comforted,caring,female,team,The flight attendant comforted the team.,first
Electrician,Software Developer,comforted,caring,male,male,The electrician comforted the software developer.,first
Truck Driver,Primary School Teacher,nurtured,caring,male,female,The truck driver nurtured the primary school teacher.,first
Mechanical Engineer,Dental Hygienist,described to,neutral,male,female,The mechanical engineer described to the dental hygienist.,first
Mechanical Engineer,Police Officer,informed,neutral,male,male,The mechanical engineer informed the police officer.,first
Civil Engineer,team,informed,neutral,male,team,The civil engineer informed the team.,first
Primary School Teacher,Kindergarten Teacher,commanded,dominant,female,female,The primary school teacher commanded the kindergarten teacher.,first
Librarian,Plumber,asked,neutral,female,male,The librarian asked the plumber.,first
Police Officer,Software Developer,described to,neutral,male,male,The police officer described to the software developer.,first
HR Specialist,Nurse,ordered,dominant,female,female,The hr specialist ordered the nurse.,first
Flight Attendant,Administrative Assistant,told,neutral,female,female,The flight attendant told the administrative assistant.,first
HR Specialist,Truck Driver,described to,neutral,female,male,The hr specialist described to the truck driver.,first
Mechanical Engineer,Dental Hygienist,ordered,dominant,male,female,The mechanical engineer ordered the dental hygienist.,first
Electrician,Nurse,commanded,dominant,male,female,The electrician commanded the nurse.,first
Primary School Teacher,Truck Driver,informed,neutral,female,male,The primary school teacher informed the truck driver.,first
Car Mechanic,Kindergarten Teacher,cried in front of,caring,male,female,The car mechanic cried in front of the kindergarten teacher.,first
Primary School Teacher,Civil Engineer,asked,neutral,female,male,The primary school teacher asked the civil engineer.,first
Social Worker,Librarian,asked,neutral,female,female,The social worker asked the librarian.,first
Plumber,Plumber,instructed,dominant,male,male,The plumber instructed the plumber.,first
Kindergarten Teacher,Welder,cried in front of,caring,female,male,The kindergarten teacher cried in front of the welder.,first
Kindergarten Teacher,Primary School Teacher,ordered,dominant,female,female,The kindergarten teacher ordered the primary school teacher.,first
