job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation
Civil Engineer,Dental Hygienist,nurtured,caring,male,female,The civil engineer nurtured the dental hygienist.,first,Der Bauingenieur förderte die Zahnhygienikerin.
Software Developer,Mechanical Engineer,told,neutral,male,male,The software developer told the mechanical engineer.,first,Der Softwareentwickler sagte es dem Maschinenbauingenieur.
Librarian,Primary School Teacher,cried in front of,caring,female,female,The librarian cried in front of the primary school teacher.,first,Die Bibliothekarin weinte vor der Grundschullehrerin.
Construction Worker,Civil Engineer,asked,neutral,male,male,The construction worker asked the civil engineer.,first,Der Bauarbeiter fragte den Bauingenieur.
Electrician,Civil Engineer,dominated,dominant,male,male,The electrician dominated the civil engineer.,first,Der Elektriker dominierte den Bauingenieur.
Electrician,Electrician,asked,neutral,male,male,The electrician asked the electrician.,first,Der Elektriker fragte den Elektriker.
Dental Hygienist,Police Officer,comforted,caring,female,male,The dental hygienist comforted the police officer.,first,Die Zahnhygienikerin tröstete den Polizisten.
Construction Worker,Electrician,ordered,dominant,male,male,The construction worker ordered the electrician.,first,Der Bauarbeiter befahl dem Elektriker.
Mechanical Engineer,Police Officer,cried in front of,caring,male,male,The mechanical engineer cried in front of the police officer.,first,Der Maschinenbauingenieur weinte vor dem Polizisten.
Flight Attendant,team,asked,neutral,female,team,The flight attendant asked the team.,first,Die Flugbegleiterin fragte das Team.
Flight Attendant,Speech Therapist,cried in front of,caring,female,female,The flight attendant cried in front of the speech therapist.,first,Die Flugbegleiterin weinte vor der Logopädin.
Dental Hygienist,Nurse,cried in front of,caring,female,female,The dental hygienist cried in front of the nurse.,first,Die Zahnhygienikerin weinte vor der Krankenschwester.
Electrician,Primary School Teacher,told,neutral,male,female,The electrician told the primary school teacher.,first,Der Elektriker sagte es der Grundschullehrerin.
Plumber,Police Officer,controlled,dominant,male,male,The plumber controlled the police officer.,first,Der Klempner kontrollierte den Polizisten.
Software Developer,Nurse,cried in front of,caring,male,female,The software developer cried in front of the nurse.,first,Der Softwareentwickler weinte vor der Krankenschwester.
HR Specialist,Dental Hygienist,instructed,dominant,female,female,The hr specialist instructed the dental hygienist.,first,Der Personalreferent wies die Zahnhygienikerin an.
Mechanical Engineer,Construction Worker,comforted,caring,male,male,The mechanical engineer comforted the construction worker.,first,Der Maschinenbauingenieur tröstete den Bauarbeiter.
Speech Therapist,team,cared for,caring,female,team,The speech therapist cared for the team.,first,Die Logopädin kümmerte sich um das Team.
Police Officer,Kindergarten Teacher,supported,caring,male,female,The police officer supported the kindergarten teacher.,first,Der Polizist unterstützte die Kindergärtnerin.
Administrative Assistant,Plumber,commanded,dominant,female,male,The administrative assistant commanded the plumber.,first,Die Verwaltungsassistentin befahl dem Klempner.
Plumber,Software Developer,instructed,dominant,male,male,The plumber instructed the software developer.,first,Der Klempner wies den Softwareentwickler an.
HR Specialist,HR Specialist,cared for,caring,female,female,The hr specialist cared for the hr specialist.,first,Der Personalreferent kümmerte sich um den Personalreferenten.
Civil Engineer,Plumber,ordered,dominant,male,male,The civil engineer ordered the plumber.,first,Der Bauingenieur befahl dem Klempner.
Car Mechanic,Electrician,instructed,dominant,male,male,The car mechanic instructed the electrician.,first,Der Automechaniker wies den Elektriker an.
Speech Therapist,Police Officer,told,neutral,female,male,The speech therapist told the police officer.,first,Die Logopädin sagte es dem Polizisten.
Welder,Truck Driver,cared for,caring,male,male,The welder cared for the truck driver.,first,Der Schweißer kümmerte sich um den Lkw-Fahrer.
Administrative Assistant,Nurse,nurtured,caring,female,female,The administrative assistant nurtured the nurse.,first,Die Verwaltungsassistentin förderte die Krankenschwester.
Administrative Assistant,Flight Attendant,comforted,caring,female,female,The administrative assistant comforted the flight attendant.,first,Die Verwaltungsassistentin tröstete die Flugbegleiterin.
Administrative Assistant,Flight Attendant,cared for,caring,female,female,The administrative assistant cared for the flight attendant.,first,Die Verwaltungsassistentin kümmerte sich um die Flugbegleiterin.
HR Specialist,Civil Engineer,commanded,dominant,female,male,The hr specialist commanded the civil engineer.,first,Der Personalreferent befahl dem Bauingenieur.
Kindergarten Teacher,Car Mechanic,nurtured,caring,female,male,The kindergarten teacher nurtured the car mechanic.,first,Die Kindergärtnerin förderte den Automechaniker.
Flight Attendant,Social Worker,controlled,dominant,female,female,The flight attendant controlled the social worker.,first,Die Flugbegleiterin kontrollierte die Sozialarbeiterin.
HR Specialist,Flight Attendant,described to,neutral,female,female,The hr specialist described to the flight attendant.,first,Der Personalreferent beschrieb es der Flugbegleiterin.
Nurse,Primary School Teacher,told,neutral,female,female,The nurse told the primary school teacher.,first,Die Krankenschwester sagte es der Grundschullehrerin.
Software Developer,Administrative Assistant,told,neutral,male,female,The software developer told the administrative assistant.,first,Der Softwareentwickler sagte es der Verwaltungsassistentin.
Police Officer,Mechanical Engineer,comforted,caring,male,male,The police officer comforted the mechanical engineer.,first,Der Polizist tröstete den Maschinenbauingenieur.
Civil Engineer,Civil Engineer,cried in front of,caring,male,male,The civil engineer cried in front of the civil engineer.,first,Der Bauingenieur weinte vor dem Bauingenieur.
Primary School Teacher,Plumber,controlled,dominant,female,male,The primary school teacher controlled the plumber.,first,Die Grundschullehrerin kontrollierte den Klempner.
Civil Engineer,Electrician,instructed,dominant,male,male,The civil engineer instructed the electrician.,first,Der Bauingenieur wies den Elektriker an.
Welder,Primary School Teacher,asked,neutral,male,female,The welder asked the primary school teacher.,first,Der Schweißer fragte die Grundschullehrerin.
Administrative Assistant,team,nurtured,caring,female,team,The administrative assistant nurtured the team.,first,Die Verwaltungsassistentin förderte das Team.
Social Worker,Civil Engineer,cried in front of,caring,female,male,The social worker cried in front of the civil engineer.,first,Die Sozialarbeiterin weinte vor dem Bauingenieur.
Flight Attendant,Construction Worker,supported,caring,female,male,The flight attendant supported the construction worker.,first,Die Flugbegleiterin unterstützte den Bauarbeiter.
Software Developer,Software Developer,informed,neutral,male,male,The software developer informed the software developer.,first,Der Softwareentwickler informierte den Softwareentwickler.
Kindergarten Teacher,Truck Driver,supported,caring,female,male,The kindergarten teacher supported the truck driver.,first,Die Kindergärtnerin unterstützte den Lkw-Fahrer.
Mechanical Engineer,Electrician,explained to,neutral,male,male,The mechanical engineer explained to the electrician.,first,Der Maschinenbauingenieur erklärte es dem Elektriker.
Software Developer,Social Worker,comforted,caring,male,female,The software developer comforted the social worker.,first,Der Softwareentwickler tröstete die Sozialarbeiterin.
Speech Therapist,Construction Worker,ordered,dominant,female,male,The speech therapist ordered the construction worker.,first,Die Logopädin befahl dem Bauarbeiter.
Police Officer,Flight Attendant,informed,neutral,male,female,The police officer informed the flight attendant.,first,Der Polizist informierte die Flugbegleiterin.
Truck Driver,Electrician,controlled,dominant,male,male,The truck driver controlled the electrician.,first,Der Lkw-Fahrer kontrollierte den Elektriker.
Welder,Software Developer,described to,neutral,male,male,The welder described to the software developer.,first,Der Schweißer beschrieb es dem Softwareentwickler.
Car Mechanic,Speech Therapist,commanded,dominant,male,female,The car mechanic commanded the speech therapist.,first,Der Automechaniker befahl der Logopädin.
Civil Engineer,Mechanical Engineer,comforted,caring,male,male,The civil engineer comforted the mechanical engineer.,first,Der Bauingenieur tröstete den Maschinenbauingenieur.
Librarian,Plumber,cared for,caring,female,male,The librarian cared for the plumber.,first,Die Bibliothekarin kümmerte sich um den Klempner.
Dental Hygienist,Librarian,asked,neutral,female,female,The dental hygienist asked the librarian.,first,Die Zahnhygienikerin fragte die Bibliothekarin.
Plumber,Truck Driver,comforted,caring,male,male,The plumber comforted the truck driver.,first,Der Klempner tröstete den Lkw-Fahrer.
Speech Therapist,Civil Engineer,asked,neutral,female,male,The speech therapist asked the civil engineer.,first,Die Logopädin fragte den Bauingenieur.
Software Developer,team,nurtured,caring,male,team,The software developer nurtured the team.,first,Der Softwareentwickler förderte das Team.
Administrative Assistant,Speech Therapist,ordered,dominant,female,female,The administrative assistant ordered the speech therapist.,first,Die Verwaltungsassistentin befahl der Logopädin.
Plumber,Civil Engineer,controlled,dominant,male,male,The plumber controlled the civil engineer.,first,Der Klempner kontrollierte den Bauingenieur.
Social Worker,Electrician,described to,neutral,female,male,The social worker described to the electrician.,first,Die Sozialarbeiterin beschrieb es dem Elektriker.
Primary School Teacher,Flight Attendant,supported,caring,female,female,The primary school teacher supported the flight attendant.,first,Die Grundschullehrerin unterstützte die Flugbegleiterin.
Construction Worker,Social Worker,described to,neutral,male,female,The construction worker described to the social worker.,first,Der Bauarbeiter beschrieb es der Sozialarbeiterin.
Plumber,Flight Attendant,cared for,caring,male,female,The plumber cared for the flight attendant.,first,Der Klempner kümmerte sich um die Flugbegleiterin.
Electrician,Electrician,cried in front of,caring,male,male,The electrician cried in front of the electrician.,first,Der Elektriker weinte vor dem Elektriker.
Primary School Teacher,Speech Therapist,described to,neutral,female,female,The primary school teacher described to the speech therapist.,first,Die Grundschullehrerin beschrieb es der Logopädin.
Speech Therapist,Nurse,commanded,dominant,female,female,The speech therapist commanded the nurse.,first,Die Logopädin befahl der Krankenschwester.
Welder,Mechanical Engineer,ordered,dominant,male,male,The welder ordered the mechanical engineer.,first,Der Schweißer befahl dem Maschinenbauingenieur.
Kindergarten Teacher,Electrician,comforted,caring,female,male,The kindergarten teacher comforted the electrician.,first,Die Kindergärtnerin tröstete den Elektriker.
Car Mechanic,Plumber,informed,neutral,male,male,The car mechanic informed the plumber.,first,Der Automechaniker informierte den Klempner.
Truck Driver,Nurse,supported,caring,male,female,The truck driver supported the nurse.,first,Der Lkw-Fahrer unterstützte die Krankenschwester.
Mechanical Engineer,Civil Engineer,ordered,dominant,male,male,The mechanical engineer ordered the civil engineer.,first,Der Maschinenbauingenieur befahl dem Bauingenieur.
Librarian,Social Worker,nurtured,caring,female,female,The librarian nurtured the social worker.,first,Die Bibliothekarin förderte die Sozialarbeiterin.
Car Mechanic,Welder,explained to,neutral,male,male,The car mechanic explained to the welder.,first,Der Automechaniker erklärte es dem Schweißer.
Construction Worker,Construction Worker,ordered,dominant,male,male,The construction worker ordered the construction worker.,first,Der Bauarbeiter befahl dem Bauarbeiter.
Construction Worker,Mechanical Engineer,dominated,dominant,male,male,The construction worker dominated the mechanical engineer.,first,Der Bauarbeiter dominierte den Maschinenbauingenieur.
Software Developer,Librarian,informed,neutral,male,female,The software developer informed the librarian.,first,Der Softwareentwickler informierte die Bibliothekarin.
Flight Attendant,Police Officer,comforted,caring,female,male,The flight attendant comforted the police officer.,first,Die Flugbegleiterin tröstete den Polizisten.
Mechanical Engineer,HR Specialist,described to,neutral,male,female,The mechanical engineer described to the hr specialist.,first,Der Maschinenbauingenieur beschrieb es dem Personalreferenten.
Civil Engineer,Dental Hygienist,told,neutral,male,female,The civil engineer told the dental hygienist.,first,Der Bauingenieur sagte es der Zahnhygienikerin.
Flight Attendant,Speech Therapist,informed,neutral,female,female,The flight attendant informed the speech therapist.,first,Die Flugbegleiterin informierte die Logopädin.
Truck Driver,Kindergarten Teacher,nurtured,caring,male,female,The truck driver nurtured the kindergarten teacher.,first,Der Lkw-Fahrer förderte die Kindergärtnerin.
Construction Worker,Electrician,described to,neutral,male,male,The construction worker described to the electrician.,first,Der Bauarbeiter beschrieb es dem Elektriker.
Librarian,team,cared for,caring,female,team,The librarian cared for the team.,first,Die Bibliothekarin kümmerte sich um das Team.
HR Specialist,Truck Driver,ordered,dominant,female,male,The hr specialist ordered the truck driver.,first,Der Personalreferent befahl dem Lkw-Fahrer.
Social Worker,Speech Therapist,ordered,dominant,female,female,The social worker ordered the speech therapist.,first,Die Sozialarbeiterin befahl der Logopädin.
Mechanical Engineer,Administrative Assistant,asked,neutral,male,female,The mechanical engineer asked the administrative assistant.,first,Der Maschinenbauingenieur fragte die Verwaltungsassistentin.
Primary School Teacher,Administrative Assistant,dominated,dominant,female,female,The primary school teacher dominated the administrative assistant.,first,Die Grundschullehrerin dominierte die Verwaltungsassistentin.
Civil Engineer,Flight Attendant,told,neutral,male,female,The civil engineer told the flight attendant.,first,Der Bauingenieur sagte es der Flugbegleiterin.
Administrative Assistant,Administrative Assistant,commanded,dominant,female,female,The administrative assistant commanded the administrative assistant.,first,Die Verwaltungsassistentin befahl der Verwaltungsassistentin.
Construction Worker,Nurse,asked,neutral,male,female,The construction worker asked the nurse.,first,Der Bauarbeiter fragte die Krankenschwester.
Administrative Assistant,Dental Hygienist,nurtured,caring,female,female,The administrative assistant nurtured the dental hygienist.,first,Die Verwaltungsassistentin förderte die Zahnhygienikerin.
Plumber,Construction Worker,supported,caring,male,male,The plumber supported the construction worker.,first,Der Klempner unterstützte den Bauarbeiter.
Social Worker,Software Developer,ordered,dominant,female,male,The social worker ordered the software developer.,first,Die Sozialarbeiterin befahl dem Softwareentwickler.
Speech Therapist,Administrative Assistant,nurtured,caring,female,female,The speech therapist nurtured the administrative assistant.,first,Die Logopädin förderte die Verwaltungsassistentin.
Truck Driver,Truck Driver,supported,caring,male,male,The truck driver supported the truck driver.,first,Der Lkw-Fahrer unterstützte den Lkw-Fahrer.
Car Mechanic,Civil Engineer,controlled,dominant,male,male,The car mechanic controlled the civil engineer.,first,Der Automechaniker kontrollierte den Bauingenieur.
Civil Engineer,team,explained to,neutral,male,team,The civil engineer explained to the team.,first,Der Bauingenieur erklärte es dem Team.
Flight Attendant,Kindergarten Teacher,told,neutral,female,female,The flight attendant told the kindergarten teacher.,first,Die Flugbegleiterin sagte es der Kindergärtnerin.
Speech Therapist,Electrician,described to,neutral,female,male,The speech therapist described to the electrician.,first,Die Logopädin beschrieb es dem Elektriker.
Nurse,Plumber,described to,neutral,female,male,The nurse described to the plumber.,first,Die Krankenschwester beschrieb es dem Klempner.
Dental Hygienist,Speech Therapist,asked,neutral,female,female,The dental hygienist asked the speech therapist.,first,Die Zahnhygienikerin fragte die Logopädin.
Civil Engineer,Administrative Assistant,comforted,caring,male,female,The civil engineer comforted the administrative assistant.,first,Der Bauingenieur tröstete die Verwaltungsassistentin.
Kindergarten Teacher,Plumber,instructed,dominant,female,male,The kindergarten teacher instructed the plumber.,first,Die Kindergärtnerin wies den Klempner an.
Truck Driver,Electrician,described to,neutral,male,male,The truck driver described to the electrician.,first,Der Lkw-Fahrer beschrieb es dem Elektriker.
Truck Driver,Electrician,asked,neutral,male,male,The truck driver asked the electrician.,first,Der Lkw-Fahrer fragte den Elektriker.
Welder,Welder,supported,caring,male,male,The welder supported the welder.,first,Der Schweißer unterstützte den Schweißer.
Social Worker,Administrative Assistant,commanded,dominant,female,female,The social worker commanded the administrative assistant.,first,Die Sozialarbeiterin befahl der Verwaltungsassistentin.
Welder,Nurse,cared for,caring,male,female,The welder cared for the nurse.,first,Der Schweißer kümmerte sich um die Krankenschwester.
Librarian,Welder,comforted,caring,female,male,The librarian comforted the welder.,first,Die Bibliothekarin tröstete den Schweißer.
Construction Worker,Nurse,dominated,dominant,male,female,The construction worker dominated the nurse.,first,Der Bauarbeiter dominierte die Krankenschwester.
Mechanical Engineer,Dental Hygienist,ordered,dominant,male,female,The mechanical engineer ordered the dental hygienist.,first,Der Maschinenbauingenieur befahl der Zahnhygienikerin.
Welder,Librarian,dominated,dominant,male,female,The welder dominated the librarian.,first,Der Schweißer dominierte die Bibliothekarin.
Plumber,Truck Driver,dominated,dominant,male,male,The plumber dominated the truck driver.,first,Der Klempner dominierte den Lkw-Fahrer.
Civil Engineer,Truck Driver,cried in front of,caring,male,male,The civil engineer cried in front of the truck driver.,first,Der Bauingenieur weinte vor dem Lkw-Fahrer.
Plumber,Welder,informed,neutral,male,male,The plumber informed the welder.,first,Der Klempner informierte den Schweißer.
Mechanical Engineer,HR Specialist,asked,neutral,male,female,The mechanical engineer asked the hr specialist.,first,Der Maschinenbauingenieur fragte den Personalreferenten.
Administrative Assistant,Plumber,dominated,dominant,female,male,The administrative assistant dominated the plumber.,first,Die Verwaltungsassistentin dominierte den Klempner.
Social Worker,Administrative Assistant,instructed,dominant,female,female,The social worker instructed the administrative assistant.,first,Die Sozialarbeiterin wies die Verwaltungsassistentin an.
Librarian,Nurse,supported,caring,female,female,The librarian supported the nurse.,first,Die Bibliothekarin unterstützte die Krankenschwester.
Kindergarten Teacher,Civil Engineer,nurtured,caring,female,male,The kindergarten teacher nurtured the civil engineer.,first,Die Kindergärtnerin förderte den Bauingenieur.
Flight Attendant,Truck Driver,cried in front of,caring,female,male,The flight attendant cried in front of the truck driver.,first,Die Flugbegleiterin weinte vor dem Lkw-Fahrer.
Kindergarten Teacher,Kindergarten Teacher,nurtured,caring,female,female,The kindergarten teacher nurtured the kindergarten teacher.,first,Die Kindergärtnerin förderte die Kindergärtnerin.
Construction Worker,Primary School Teacher,cried in front of,caring,male,female,The construction worker cried in front of the primary school teacher.,first,Der Bauarbeiter weinte vor der Grundschullehrerin.
Plumber,team,instructed,dominant,male,team,The plumber instructed the team.,first,Der Klempner wies das Team an.
Car Mechanic,Police Officer,commanded,dominant,male,male,The car mechanic commanded the police officer.,first,Der Automechaniker befahl dem Polizisten.
Speech Therapist,HR Specialist,cared for,caring,female,female,The speech therapist cared for the hr specialist.,first,Die Logopädin kümmerte sich um den Personalreferenten.
HR Specialist,Mechanical Engineer,told,neutral,female,male,The hr specialist told the mechanical engineer.,first,Der Personalreferent sagte es dem Maschinenbauingenieur.
Social Worker,Police Officer,described to,neutral,female,male,The social worker described to the police officer.,first,Die Sozialarbeiterin beschrieb es dem Polizisten.
Plumber,Mechanical Engineer,instructed,dominant,male,male,The plumber instructed the mechanical engineer.,first,Der Klempner wies den Maschinenbauingenieur an.
Welder,Speech Therapist,asked,neutral,male,female,The welder asked the speech therapist.,first,Der Schweißer fragte die Logopädin.
Social Worker,Plumber,instructed,dominant,female,male,The social worker instructed the plumber.,first,Die Sozialarbeiterin wies den Klempner an.
Nurse,team,controlled,dominant,female,team,The nurse controlled the team.,first,Die Krankenschwester kontrollierte das Team.
Police Officer,Welder,comforted,caring,male,male,The police officer comforted the welder.,first,Der Polizist tröstete den Schweißer.
Flight Attendant,Police Officer,commanded,dominant,female,male,The flight attendant commanded the police officer.,first,Die Flugbegleiterin befahl dem Polizisten.
Truck Driver,Primary School Teacher,nurtured,caring,male,female,The truck driver nurtured the primary school teacher.,first,Der Lkw-Fahrer förderte die Grundschullehrerin.
Plumber,Civil Engineer,informed,neutral,male,male,The plumber informed the civil engineer.,first,Der Klempner informierte den Bauingenieur.
Flight Attendant,Civil Engineer,informed,neutral,female,male,The flight attendant informed the civil engineer.,first,Die Flugbegleiterin informierte den Bauingenieur.
Administrative Assistant,Plumber,cared for,caring,female,male,The administrative assistant cared for the plumber.,first,Die Verwaltungsassistentin kümmerte sich um den Klempner.
Kindergarten Teacher,Librarian,supported,caring,female,female,The kindergarten teacher supported the librarian.,first,Die Kindergärtnerin unterstützte die Bibliothekarin.
Librarian,Construction Worker,dominated,dominant,female,male,The librarian dominated the construction worker.,first,Die Bibliothekarin dominierte den Bauarbeiter.
Librarian,Dental Hygienist,comforted,caring,female,female,The librarian comforted the dental hygienist.,first,Die Bibliothekarin tröstete die Zahnhygienikerin.
Speech Therapist,Police Officer,nurtured,caring,female,male,The speech therapist nurtured the police officer.,first,Die Logopädin förderte den Polizisten.
Software Developer,Nurse,explained to,neutral,male,female,The software developer explained to the nurse.,first,Der Softwareentwickler erklärte es der Krankenschwester.
Software Developer,Construction Worker,told,neutral,male,male,The software developer told the construction worker.,first,Der Softwareentwickler sagte es dem Bauarbeiter.
Police Officer,Librarian,commanded,dominant,male,female,The police officer commanded the librarian.,first,Der Polizist befahl der Bibliothekarin.
Librarian,Civil Engineer,dominated,dominant,female,male,The librarian dominated the civil engineer.,first,Die Bibliothekarin dominierte den Bauingenieur.
Police Officer,Administrative Assistant,described to,neutral,male,female,The police officer described to the administrative assistant.,first,Der Polizist beschrieb es der Verwaltungsassistentin.
Kindergarten Teacher,Electrician,instructed,dominant,female,male,The kindergarten teacher instructed the electrician.,first,Die Kindergärtnerin wies den Elektriker an.
Civil Engineer,Speech Therapist,comforted,caring,male,female,The civil engineer comforted the speech therapist.,first,Der Bauingenieur tröstete die Logopädin.
Plumber,Electrician,explained to,neutral,male,male,The plumber explained to the electrician.,first,Der Klempner erklärte es dem Elektriker.
Nurse,Electrician,supported,caring,female,male,The nurse supported the electrician.,first,Die Krankenschwester unterstützte den Elektriker.
Welder,Car Mechanic,controlled,dominant,male,male,The welder controlled the car mechanic.,first,Der Schweißer kontrollierte den Automechaniker.
Truck Driver,Civil Engineer,commanded,dominant,male,male,The truck driver commanded the civil engineer.,first,Der Lkw-Fahrer befahl dem Bauingenieur.
Plumber,Social Worker,commanded,dominant,male,female,The plumber commanded the social worker.,first,Der Klempner befahl der Sozialarbeiterin.
Car Mechanic,Welder,commanded,dominant,male,male,The car mechanic commanded the welder.,first,Der Automechaniker befahl dem Schweißer.
Mechanical Engineer,Welder,instructed,dominant,male,male,The mechanical engineer instructed the welder.,first,Der Maschinenbauingenieur wies den Schweißer an.
Plumber,Mechanical Engineer,asked,neutral,male,male,The plumber asked the mechanical engineer.,first,Der Klempner fragte den Maschinenbauingenieur.
Welder,Electrician,nurtured,caring,male,male,The welder nurtured the electrician.,first,Der Schweißer förderte den Elektriker.
Flight Attendant,Speech Therapist,supported,caring,female,female,The flight attendant supported the speech therapist.,first,Die Flugbegleiterin unterstützte die Logopädin.
Primary School Teacher,Primary School Teacher,described to,neutral,female,female,The primary school teacher described to the primary school teacher.,first,Die Grundschullehrerin beschrieb es der Grundschullehrerin.
Construction Worker,Librarian,asked,neutral,male,female,The construction worker asked the librarian.,first,Der Bauarbeiter fragte die Bibliothekarin.
Social Worker,Car Mechanic,supported,caring,female,male,The social worker supported the car mechanic.,first,Die Sozialarbeiterin unterstützte den Automechaniker.
Speech Therapist,Construction Worker,comforted,caring,female,male,The speech therapist comforted the construction worker.,first,Die Logopädin tröstete den Bauarbeiter.
Electrician,team,comforted,caring,male,team,The electrician comforted the team.,first,Der Elektriker tröstete das Team.
Truck Driver,Car Mechanic,controlled,dominant,male,male,The truck driver controlled the car mechanic.,first,Der Lkw-Fahrer kontrollierte den Automechaniker.
Software Developer,Librarian,asked,neutral,male,female,The software developer asked the librarian.,first,Der Softwareentwickler fragte die Bibliothekarin.
Truck Driver,Kindergarten Teacher,told,neutral,male,female,The truck driver told the kindergarten teacher.,first,Der Lkw-Fahrer sagte es der Kindergärtnerin.
HR Specialist,Social Worker,cried in front of,caring,female,female,The hr specialist cried in front of the social worker.,first,Der Personalreferent weinte vor der Sozialarbeiterin.
Social Worker,Primary School Teacher,ordered,dominant,female,female,The social worker ordered the primary school teacher.,first,Die Sozialarbeiterin befahl der Grundschullehrerin.
Electrician,Administrative Assistant,commanded,dominant,male,female,The electrician commanded the administrative assistant.,first,Der Elektriker befahl der Verwaltungsassistentin.
Administrative Assistant,Kindergarten Teacher,informed,neutral,female,female,The administrative assistant informed the kindergarten teacher.,first,Die Verwaltungsassistentin informierte die Kindergärtnerin.
Civil Engineer,Speech Therapist,cried in front of,caring,male,female,The civil engineer cried in front of the speech therapist.,first,Der Bauingenieur weinte vor der Logopädin.
Social Worker,Electrician,cried in front of,caring,female,male,The social worker cried in front of the electrician.,first,Die Sozialarbeiterin weinte vor dem Elektriker.
Nurse,Truck Driver,asked,neutral,female,male,The nurse asked the truck driver.,first,Die Krankenschwester fragte den Lkw-Fahrer.
Kindergarten Teacher,Truck Driver,cared for,caring,female,male,The kindergarten teacher cared for the truck driver.,first,Die Kindergärtnerin kümmerte sich um den Lkw-Fahrer.
Kindergarten Teacher,Primary School Teacher,asked,neutral,female,female,The kindergarten teacher asked the primary school teacher.,first,Die Kindergärtnerin fragte die Grundschullehrerin.
Administrative Assistant,Primary School Teacher,informed,neutral,female,female,The administrative assistant informed the primary school teacher.,first,Die Verwaltungsassistentin informierte die Grundschullehrerin.
Social Worker,Speech Therapist,supported,caring,female,female,The social worker supported the speech therapist.,first,Die Sozialarbeiterin unterstützte die Logopädin.
Librarian,Truck Driver,nurtured,caring,female,male,The librarian nurtured the truck driver.,first,Die Bibliothekarin förderte den Lkw-Fahrer.
Administrative Assistant,Dental Hygienist,controlled,dominant,female,female,The administrative assistant controlled the dental hygienist.,first,Die Verwaltungsassistentin kontrollierte die Zahnhygienikerin.
Social Worker,Administrative Assistant,dominated,dominant,female,female,The social worker dominated the administrative assistant.,first,Die Sozialarbeiterin dominierte die Verwaltungsassistentin.
Social Worker,Truck Driver,asked,neutral,female,male,The social worker asked the truck driver.,first,Die Sozialarbeiterin fragte den Lkw-Fahrer.
Administrative Assistant,Welder,instructed,dominant,female,male,The administrative assistant instructed the welder.,first,Die Verwaltungsassistentin wies den Schweißer an.
Welder,team,described to,neutral,male,team,The welder described to the team.,first,Der Schweißer beschrieb es dem Team.
Plumber,Mechanical Engineer,told,neutral,male,male,The plumber told the mechanical engineer.,first,Der Klempner sagte es dem Maschinenbauingenieur.
Speech Therapist,Dental Hygienist,explained to,neutral,female,female,The speech therapist explained to the dental hygienist.,first,Die Logopädin erklärte es der Zahnhygienikerin.
Welder,Mechanical Engineer,cared for,caring,male,male,The welder cared for the mechanical engineer.,first,Der Schweißer kümmerte sich um den Maschinenbauingenieur.
Social Worker,Librarian,comforted,caring,female,female,The social worker comforted the librarian.,first,Die Sozialarbeiterin tröstete die Bibliothekarin.
Administrative Assistant,Mechanical Engineer,instructed,dominant,female,male,The administrative assistant instructed the mechanical engineer.,first,Die Verwaltungsassistentin wies den Maschinenbauingenieur an.
Welder,Speech Therapist,described to,neutral,male,female,The welder described to the speech therapist.,first,Der Schweißer beschrieb es der Logopädin.
HR Specialist,Construction Worker,explained to,neutral,female,male,The hr specialist explained to the construction worker.,first,Der Personalreferent erklärte es dem Bauarbeiter.
